law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Campbell Law Office, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17090,Atchison,KS,Atchison,(913) 367-9900,,General,107 N 6th St Ste 5 PO Box 276,66002,,2,
"Mears Hausmann, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26436,Atchison,KS,Atchison,(913) 367-0850,,General,"104 N. 6th St, Ste 1, P.O. Box 157",66002,,2,
MGP Ingredients,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27376,Atchison,KS,Atchison,(913) 360-5439,,General,100 Commercial St,66002,,2,
Foley & Buddenbohm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9241,Atchison,KS,Atchison,(913) 367-5246,,General,303 S Street,66002,,2,
Senior Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9884,Atchison,KS,Atchison,(913) 367-8144,,General,1608 Country Club Rd,66002,,2,
Patrick R. Hrenchir,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18839,Atchison,KS,Atchison,(913) 367-4705,,General,428 S 7th St,66002,,2,
Law Office of Robert L Steffen,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19472,Atchison,KS,Atchison,(785) 267-7184,,General,PO Box 8,66002,,2,
Ternent Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16279,Atchison,KS,Atchison,(913) 367-1790,,General,P.O. Box 396,66002,,2,
Werring Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22184,Atchison,KS,Atchison,(913) 367-2424,,General,110 N 5th St,66002,,2,
"Kurth Law Office Inc, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13208,Atchison,KS,Atchison,(913) 367-2681,,General,304 Commercial St PO Box 333,66002,,2,
