law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Allen Waddell,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Amy Lynn Hunsucker Prasad,,,,,TX,Bell,,,Civil Rights,,,Killeen-Temple,3,1,2026-09-13,State Bar of Texas Member Directory
Andrea Elyse Dargin,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Annette Nelson Farmer,,,,,TX,Bell,,,Estate Planning,,,Killeen-Temple,2,1,2026-09-13,State Bar of Texas Member Directory
Arthur E. Bauereiss,,,,,TX,Bell,,,Criminal Defense,,,Killeen-Temple,5,1,2026-09-13,State Bar of Texas Member Directory
Carlie Rae McCleery,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Clifford P. Block,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Cooper Blake Voigtel,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
David Christian Garcia,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
David Grant Shatto,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Elizabeth Danielle Matta,,,,,TX,Bell,,,Employment Law,,,Killeen-Temple,3,1,2026-09-13,State Bar of Texas Member Directory
Elizabeth Rose Allen,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Ginese Ullanda Simmons-Gilbert,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer D. Soldano,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Jeremiah D. Clark,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Joseph R. Welsh,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
Julio Ceasar Colon,,,,,TX,Bell,,,Criminal Defense,,,Killeen-Temple,5,1,2026-09-13,State Bar of Texas Member Directory
Keith Lee Huhman,,,,,TX,Bell,254-721-5083,,Criminal Defense,,,Killeen-Temple,5,1,2026-09-13,State Bar of Texas Member Directory
Lauren Elizabeth Seger,,,,,TX,Bell,,,General,,,Killeen-Temple,4,1,2026-09-13,State Bar of Texas Member Directory
