law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Anderson Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26495,Hays,KS,Ellis,(785) 624-0021,,General,PO Box 225,67601,,2,
Ellis County Atty Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20820,Hays,KS,Ellis,(785) 628-9405,,General,107 W 12th,67601,,2,
Jeter Law Firm LLP,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26459,Hays,KS,Ellis,(785) 628-8226,,General,PO Box 128,67601,,2,
Clinkscales Elder Law Practice PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10705,Hays,KS,Ellis,(785) 625-8040,,General,1407 Main St Ste A,67601,,2,
Grabbe Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26347,Hays,KS,Ellis,(785) 621-4711,,General,"205 E 7th St, Ste 403",67601,,2,
"Dreiling, Bieker & Hoffman LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=9502,Hays,KS,Ellis,(785) 625-3537,,General,111 W 13th St PO Box 579,67601,,2,
Schwartz & Park LLP,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30743,Hays,KS,Ellis,(785) 625-0024,,General,"1401 Main St, Ste A",67601,,2,
Kansas Legal Services,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29066,Hays,KS,Ellis,(785) 625-4514,,General,2017 Vine St,67601,,2,
Olavee F Raub LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20872,Ellis,KS,Ellis,(785) 201-3340,,General,PO Box 203 812 Washington,67637,,2,
Thomas M. Wasinger,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9116,Hays,KS,Ellis,(785) 625-8022,,General,110 East 12th,67601,,2,
"Glassman Bird Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8419,Hays,KS,Ellis,(785) 625-6919,,General,PO Box 727,67601,,2,
"Kaylene Brin, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30302,Hays,KS,Ellis,(785) 628-1145,,General,109 W 10th St,67601,,2,
"Eikenberry Law, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17748,Hays,KS,Ellis,(785) 422-2177,,General,107 W 10th St,67601,,2,
Jeff Seibel,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11192,Hays,KS,Ellis,(785) 623-4500,,General,PO Box 695,67601-0695,,2,
Fletcher Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25758,Hays,KS,Ellis,(785) 301-1419,,General,"2818 Vine St, Ste D",67601,,2,
McGowne Law Offices,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29056,Hays,KS,Ellis,(720) 878-7688,,General,PO Box 1659,67601,,2,
"Patterson Energy, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=25483,Hays,KS,Ellis,(703) 785-9018,,General,PO Box 400,67601,,2,
"Zeigler Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26405,Ellis,KS,Ellis,(785) 726-3129,,General,PO Box 108,67637,,2,
Wright Law Office Chtd,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12874,Hays,KS,Ellis,(785) 621-4025,,General,113 W 13th St,67601,,2,
"Kip Johnson, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17717,Hays,KS,Ellis,(785) 301-2382,,General,235 W 10th St PO Box 398,67601,,2,
Law Office Of Dillon L. Stum,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25515,Hays,KS,Ellis,(785) 798-7315,,General,PO Box 81,67601,,2,
Matillion Limited,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12409,Hays,KS,Ellis,(720) 938-6700,,General,4114 Covenant Dr,67601,,2,
