law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
A. Michelle Canter,,,,,TX,Denton,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
ADF,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
Adam C. Thackston,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Adam Catchings Wisner,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Adam Garrett Bowling,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Adam Lee Pomerantz,,,,,TX,Denton,469-647-7444,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Adenike A. Adesokan,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Adriana Marie Parrondo,,,,,TX,Denton,214-953-1616,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Aimee Elaine Manriquez,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Akbar Khwaja,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Albert Isaiah Thomas,,,,,TX,Denton,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Alden Lee Griesbach,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Alec Carden,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Alexa Jade McCartney,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Alexia Elise Quintero,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Alexis Novelle Griffin,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Alicia Kaye Matney,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Allen Lineberry,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Allison Amie Hoki Reddoch,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
Amanda Michelle Green,,,,,TX,Denton,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Amanda T. Brown,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
American Bath Group,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Amy Ruth McFadden,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Andrea Bustamante,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Andrew Gilbert Smith,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Andrew Singh Gill,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Andrew Stephen Boone,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Angela Deann Clanton,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
Anisha C. Patel,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Ann Stephens Poston,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Annabel Roberts,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Anne Elizabeth Hatzenbuhl Hudson,,,,,TX,Denton,214-792-3029,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Anne Margaret Turicc Guidry,,,,,TX,Denton,972-998-7625,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Areesha Imtiaz Hemani,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Arinetta Rachell Martin-Bowser,,,,,TX,Denton,,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Arneda K. Perkins,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Arshad Majid,,,,,TX,Denton,516-473-9116,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Ashley Marie Saenz,,,,,TX,Denton,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Baillie Lyn McCormack,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Bank of Hope,,,,,TX,Denton,301-693-1155,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Barbara Ann Hackmann Walther,,,,,TX,Denton,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Barry Lee Moerschell,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Benjamin Paul Rowe,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Binh Thanh Nguyen,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Booz Allen Hamilton,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Bradley Matthew McMahon,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Bradley William Kucera,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Brandi Kay Laird,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Brianna M. Davis,,,,,TX,Denton,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Bruce Cooper Williams,,,,,TX,Denton,714-756-1045,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
"Burkes Legal Solutions, PLLC",,,,,TX,Denton,972-861-2593,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Caitlin Anne Holland,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
Caitlin Marie Olson,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Caitlyn Elizabeth Ashley,https://www.caitlynashleylaw.com/,,,,TX,Denton,940-320-7496,caitlyn@caitlynashleylaw.com,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Cale Landon Curtin,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Cale Patrick O'Bryan,,,,,TX,Denton,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Cameron R. Bautsch,,,,,TX,Denton,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Cameron Ray Burleson,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Camie Michelle Belvin,,,,,TX,Denton,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Carla Iskandarani,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Carla Shaffer Moreland,,,,,TX,Denton,214-661-8017,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Carley Lynne Barnett,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Carmen Mercedes Dominguez-Menendez,,,,,TX,Denton,214-531-2057,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Cassidy Drew Harrington,,,,,TX,Denton,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Catherine MichelleMaggio Schmucker,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Cayne Crossing,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Chad William Culpepper,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Chase Hamilton Miller,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Chelsea Nicole Fields,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Cherry Srivastava,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Chifeng Jiang,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
"Chobani, LLC",,,,,TX,Denton,972-977-7009,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Chris Andrew Lorenzen,,,,,TX,Denton,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Christian Noble Drake,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Christopher A Beinecke,,,,,TX,Denton,214-991-0550,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Cody Alexander Wilson,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Colin Joseph Wooldridge,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Colombo & Hurd,,,,,TX,Denton,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Connor Allen Troy,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
"Constangy, Brooks, Smith & Prophete LLP",https://www.constangy.com/team/Laura-Funk,,,,TX,Denton,877-382-2724,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Courtney Lynn Mowdy,,,,,TX,Denton,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory
Cristin D Adam,,,,,TX,Denton,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Cristina E.R. Denholm,,,,,TX,Denton,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-12,State Bar of Texas Member Directory
Cullen Jake Angonia,,,,,TX,Denton,682-428-9220,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-12,State Bar of Texas Member Directory; State Bar self-reported website
Cynthia Ruth Thornton,,,,,TX,Denton,214-228-6206,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-12,State Bar of Texas Member Directory
Dallas Eviction Advocacy Center,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Daniel Paul Granvold,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Daniel Thomas Gerber,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Danielle Michelle Applin,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
David Bernard Thaw,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
David Michael Hoard,,,,,TX,Denton,,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
Dawn Marie Beck,,,,,TX,Denton,682-283-6184,,General,,,Dallas-Fort Worth,4,1,2026-09-12,State Bar of Texas Member Directory
