law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron Christopher Labardini,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Ahvae Arian Marlene Nicholas,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Alexander E. Arbour,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Amber Loraine Moore,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Angelina Rose Brewer,,,,,TX,Ellis,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Ashley L. Stroud,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Asya La-Sha Mitchem,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Austin Thomas Morris,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Baker McKenzie,,,,,TX,Ellis,214-978-3021,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Benjamin James Kissee,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Benjamin Jordan Shiver,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Brandon R. Jordan,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Brian Keith Garlitz,,,,,TX,Ellis,214-418-3859,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-13,State Bar of Texas Member Directory
Carol Lynn Bush,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
"Carolyn E. White, PLLC",,,,,TX,Ellis,972-921-2850,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Chase Robert Mayer,,,,,TX,Ellis,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Chelsey L. Watts,,,,,TX,Ellis,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
"Christopher Andrews, P.C.",,,,,TX,Ellis,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
