law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Law Office Of V. Linnea Alt, Chartered",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20188,Junction City,KS,Geary,(785) 200-3355,,General,623 N. Washington,66441,,2,
"Altenhofen & Gonzalez, Chartered",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11436,Junction City,KS,Geary,(785) 762-2100,,General,117 A W. 8th St,66441,,2,
Linda M. Barnes,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15656,Junction City,KS,Geary,(785) 223-4245,,General,302 N Adams St,66441,,2,
North Central Public Defenders,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27859,Junction City,KS,Geary,(785) 238-2154,,General,715 N Washington St,66441,,2,
Weary Davis LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=7399,Junction City,KS,Geary,(785) 762-2210,,General,PO Box 987 108 West 8th,66441,,2,
"Hoover, Schermerhorn, Edwards, Pinaire & Rombold",,,https://directory-kard.kscourts.gov/Home/Details?regNum=23373,Junction City,KS,Geary,(785) 238-3126,,General,811 N. Washington St.,66441,,2,
YoungWilliams Child Support Services,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29552,Junction City,KS,Geary,(785) 409-6285,,General,711 Southwind Dr,66441,,2,
Law Office of Gene N. Parrish,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19541,Junction City,KS,Geary,(785) 238-0811,,General,123 W 7th PO Box 981,66441,,2,
Defense Health Agency,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20721,Fort Riley,KS,Geary,(785) 240-7808,,General,Bldg 650,66442,,2,
Law Office of Michael McKone,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8186,Junction City,KS,Geary,(785) 307-2065,,General,712-A N Washington Box 87,66441,,2,
Pender Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28995,Junction City,KS,Geary,(913) 287-0925,,General,111 W 7th St,66441,,2,
"Keith R. Henry, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8434,Junction City,KS,Geary,(785) 209-0938,,General,1725 Kenneth Dr,66441,,2,
Gipson Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23305,Junction City,KS,Geary,(620) 655-4416,,General,Box 1001,66441,,2,
