law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Adam Hollis Burklund,,,,,TX,Hays,512-707-1146,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Akerman, LLP",,,,,TX,Hays,210-582-0218,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Allison JoAnne Anglin Massey,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Amanda Lee Harvey,,,,,TX,Hays,512-969-6550,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ambika Nagasandra Sanchez,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Andre Tremaine Montgomery,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Angelita Mendoza-Waterhouse,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ann Kaylene Ray,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Ariana Marivel Perez,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Austin Southerland,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Barrett Davis Cappadonna,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Benjamin Ariel Neal,,,,,TX,Hays,512-884-6418,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Betty Carolyn Burnett,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Bradley Michael Parro,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Branch.io,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Brandie Lynne Clevenger,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Briana Michelle Stone,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Bridget Eileen Andrews Remish,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Christina Xenides,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Christopher Marshall Ervin,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Cognizant Technology Solutions,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Courtney Paige Coburn,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Cox PLLC,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
