law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron Joshua Bazan,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Abiel Linan,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Alec de la Cruz,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Amanda Diane Austin,,,,,TX,Hidalgo,,,Criminal Defense,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
Anabel T. Maldonado,,,,,TX,Hidalgo,,,Personal Injury,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
Andrei V. Ibanez,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Andres Castillo,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Andrias Rebecca Jones,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Anica Alfaro,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Anthony Matthew Ortega,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Ashley Aneliz Salinas,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Azalea Aleman-Bendiks,,,,,TX,Hidalgo,,,Criminal Defense,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
"Baker, Donelson, Bearman, Caldwell & Berkowitz P.C.",,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Brittney Garza Ast,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Cindy Aime Esquivel,,,,,TX,Hidalgo,,,Criminal Defense,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
Conservation International,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Criselda Ivon Rincon,,,,,TX,Hidalgo,,,Criminal Defense,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
DOJ/EOIR HARLINGEN IMMIGRATION COURT,,,,,TX,Hidalgo,,,Immigration,,,McAllen-Edinburg-Mission,2,1,2026-09-13,State Bar of Texas Member Directory
Daniel Gonzalez,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Denise Santa Ana,,,,,TX,Hidalgo,,,Criminal Defense,,,McAllen-Edinburg-Mission,5,1,2026-09-13,State Bar of Texas Member Directory
E. R. Contreras,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Elias Alcantar,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Francisco Martinez,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
Gerald Cregg Thompson,,,,,TX,Hidalgo,,,General,,,McAllen-Edinburg-Mission,4,1,2026-09-13,State Bar of Texas Member Directory
