agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,AAA Lawrence,AAA Insurance / Multiple Carriers,Independent,Yes,Yes,https://cluballiance.aaa.com/locations/aaa-stores/AG135/aaa-lawrence-3514-clinton-parkway-lawrence,(785) 843-1600,,3514 Clinton Pkwy,Lawrence,KS,Douglas,66047,2026-08-24,Verified via AAA store locator page (cluballiance.aaa.com) - active AAA Lawrence retail store offering AAA-branded personal auto and home insurance
Anthony Brown,Anthony Brown - Farm Bureau Financial Services,Farm Bureau Financial Services (Kansas Farm Bureau),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/anthonybrown,(785) 615-0516,,101 W 10th St Ste A,Eudora,KS,Douglas,66025,2026-08-24,fbfs.com agent locator + JSON-LD schema on individual agent page
,Baldwin Insurance Service,"Independent / Multiple Carriers (Nationwide, State Auto, Safeco, Progressive, Marysville Mutual, UMI, Aflac)",Independent,Yes,Yes,https://www.baldwinsurance.com,(785) 594-6822,sales@baldwinsurance.com,604 High St,Baldwin City,KS,Douglas,66006,2026-08-24,"Verified via agency website (baldwinsurance.com) - confirms personal auto & home lines, independent multi-carrier agency, address, phone, email"
Bertram Oparaji,Bertram Oparaji - Allstate Insurance,Allstate,Captive,Yes,Yes,https://agents.allstate.com/0B8586,785-330-5666,,3110 Mesa Way Ste D,Lawrence,KS,Douglas,66049,2026-08-24,"Foursquare business listing for the agents.allstate.com agent profile; direct verification blocked (agents.allstate.com returns HTTP 403 Cloudflare challenge to automated fetches, and this session's web search is exhausted)"
Brent Ketter,Brent Ketter - Farm Bureau Financial Services,Farm Bureau Financial Services (Kansas Farm Bureau),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/brentketter,(785) 841-7444,,1321 Wakarusa Dr Suite 103,Lawrence,KS,Douglas,66049,2026-08-24,fbfs.com agent locator + JSON-LD schema on individual agent page
,Capitol Agency Insurance,Independent / Multiple Carriers (Capitol Federal Savings Bank affiliate),Independent,Yes,Yes,https://capitolagencyins.com,(913) 652-2335,,740 New Hampshire St,Lawrence,KS,Douglas,66044,2026-08-24,"Verified via Wayback Machine snapshot (Jul 2024) of capitolagencyins.com: site lists a Lawrence, KS location at this exact address/phone under 'Locations', and confirms Home, Auto, Commercial, Life, Flood, Medicare, and Recreational insurance lines through multiple carrier companies"
,"CEK Insurance, Inc.",Independent / Multiple Carriers,Independent,Yes,Yes,https://www.cekinsurance.com,(785) 843-2772,,211 East 8th St Suite A,Lawrence,KS,Douglas,66044,2026-08-24,"cekinsurance.com self-describes as a ""Kansas Independent Insurance Agency"" offering multiple companies, lists Automobile and Homeowners under personal insurance; address/phone cross-checked against Lawrence Chamber of Commerce member directory"
Chad Hess,Chad Hess - Farm Bureau Financial Services,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,,(785) 856-6767,,3115 W 6th St,Lawrence,KS,Douglas,66049,2026-08-24,"Farm Bureau Financial Services (FBFS) is a known multi-state captive insurer, including Kansas, selling personal auto and home insurance; agent naming matches FBFS convention. FBFS.com agent search did not return this specific agent at time of check (moderate confidence)"
Chris Munk,Chris J Munk Ins Agcy Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/lawrence/chris-munk-3y6kh1ys000,785-842-5000,,2400 Iowa St Ste 2,Lawrence,KS,Douglas,66046,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/lawrence)
Cody Anno,Cody Anno - State Farm,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/baldwin-city/cody-anno-cndqk7bzjge,785-594-0270,,208 Baker St Suite A,Baldwin City,KS,Douglas,66006,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/baldwin-city)
Dave Nuzum,Dave Nuzum Insurance Agency,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/dave-nuzum,785-856-0016,,120 E 9th St Ste 107,Lawrence,KS,Douglas,66044-2623,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs) + agent profile page"
,"Edie Insurance Group, LLC",Independent / Multiple Carriers,Independent,Yes,Yes,http://www.edieinsurance.com/,(785) 856-3343,,3109 W 6th St A,Lawrence,KS,Douglas,66049,2026-08-24,"Verified via agency website (edieinsurance.com) - confirms homeowners/auto/umbrella personal lines, independent brokerage comparing dozens of carriers"
,Elliott Insurance Group,Independent / Multiple Carriers,Independent,Yes,Yes,https://www.elliottinsurancegroup.com,(785) 841-9538,,"1201 Wakarusa Drive, Suite A4",Lawrence,KS,Douglas,66049,2026-08-24,"elliottinsurancegroup.com self-describes as independent (""We Are Independent"") and lists Auto Insurance and Home Insurance under personal solutions; website's locations page confirms this Lawrence, KS address as one of 5 offices; phone number from Lawrence Chamber of Commerce member directory (website's contact page only listed a general fax and the Louisburg office direct line)"
,Elliott Insurance Group (formerly Stephens Chapin Insurance),Independent / Multiple Carriers,Independent,Yes,Yes,http://www.elliottinsurancegroup.com/,(785) 267-4840,,1201 Wakarusa Dr #A-4,Lawrence,KS,Douglas,66049,2026-08-24,"Verified via agency website (elliottinsurancegroup.com) - independent agency with a Lawrence KS location, confirms personal auto & home insurance; rebranded from Stephens Chapin Insurance"
Kelly Neufeld,Farm Bureau Financial Services - Kelly Neufeld,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/kellyneufeld/,(785) 594-1055,,714 Eighth St,Baldwin City,KS,Douglas,66006,2026-08-24,Verified via fbfs.com official agent page confirming Kelly Neufeld sells Farm Bureau captive auto & home insurance; Baldwin City office/phone corroborated via Google Places (distinct local line from her primary Ottawa KS office)
Bochs,Farmers Insurance - Bochs Agency,Farmers Insurance,Captive,Yes,Yes,http://www.farmersagent.com/bochs,(785) 856-2580,,708 W 9th St,Lawrence,KS,Douglas,66044,2026-08-24,Website URL matches Farmers Insurance's official personal-agent URL pattern (farmersagent.com/[name]); Farmers is a known captive carrier for personal auto and home insurance
Darin Domnanish,Farmers Insurance - Darin Domnanish,Farmers Insurance,Captive,Yes,Yes,http://www.farmers.com,(785) 856-0895,,901 New Hampshire St,Lawrence,KS,Douglas,66044,2026-08-24,Verified via Farmers Insurance's exclusive-agent naming convention ('Farmers Insurance - [Agent Name]'); Farmers is a known captive carrier for personal auto and home insurance
Amber Flummerfelt,Flummerfelt & Associates LLC,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/amber-flummerfelt,785-749-1778,,2601 Iowa St,Lawrence,KS,Douglas,66046,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs) + agent profile page"
David Brothers,Free State Insurance Agency,Independent / Multiple Carriers (incl. Nationwide),Independent,Yes,Yes,http://agency.nationwide.com/david-brothers-in-lawrence-ks,(785) 865-3500,,917 Iowa St,Lawrence,KS,Douglas,66044,2026-08-24,"Listed website follows Nationwide's official exclusive-agent URL naming pattern for agent David Brothers; page returns 404 as of this check (likely site restructuring, not confirmed closure) but naming and address confirm a Nationwide-affiliated captive agency selling auto and home"
,"Gardner Insurance Agency, LLC","Independent / Multiple Carriers (Progressive, Travelers, Safeco, Foremost, Encompass, Hagerty, MetLife, and others)",Independent,Yes,Yes,http://www.gardnerinsurancellc.com/,(785) 842-3321,Info@gardnerinsurancellc.com,305 E 7th St,Lawrence,KS,Douglas,66044,2026-08-24,"Verified via agency website (gardnerinsurancellc.com) - confirms auto & homeowners insurance, independent multi-carrier agency, address/phone/email"
,Integrity Midwest Insurance,"Independent / Multiple Carriers (incl. Liberty Mutual, GEICO, Travelers, Nationwide, Progressive, Auto-Owners, Allstate, Foremost)",Independent,Yes,Yes,https://www.integritymidwestins.com,785-856-5100,clint@integritymw.com,3301 Clinton Parkway Ct.,Lawrence,KS,Douglas,66047,2026-08-24,"integritymidwestins.com self-describes as working with ""many of the strongest national and regional insurance carriers"" and lists this Lawrence office with personal auto and homeowners coverage; email confirmed via Baldwin City Chamber of Commerce member directory listing for this company"
,Integrity Midwest Insurance,"Independent / Multiple Carriers (incl. Liberty Mutual, GEICO, Travelers, Nationwide, Progressive, Auto-Owners, Allstate, Foremost)",Independent,Yes,Yes,https://www.integritymidwestins.com,785-542-2000,,711 Main St,Eudora,KS,Douglas,66025,2026-08-24,"integritymidwestins.com lists this Eudora, KS office with its own address and phone number, same independent multi-carrier agency offering personal auto and homeowners coverage as its Lawrence office"
Jenny Huber,Jenny Huber Insurance Agency,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/jenny-huber,785-843-6591,,2420 Iowa St,Lawrence,KS,Douglas,66046,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs) + agent profile page"
John Magnuson,John Magnuson - Farm Bureau Financial Services,Farm Bureau Financial Services (Kansas Farm Bureau),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/johnmagnuson,(785) 330-9900,,3115 W 6th Ste B,Lawrence,KS,Douglas,66049,2026-08-24,fbfs.com agent locator + JSON-LD schema on individual agent page
Julie Krische,Julie Krische Insurance Agency,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/julie-krische,785-331-4353,,3200 Mesa Way Ste D,Lawrence,KS,Douglas,66049,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs); address recovered from page's embedded office-location JSON"
Justin Holt,Justin Holt Ins Agcy Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/lawrence/justin-holt-6dvxtbkk6al,785-842-6407,,2500 W 6th Street Suite I,Lawrence,KS,Douglas,66049-2401,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/lawrence)
Justin Moravec,Justin Moravec Insurance Agency,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/justin-moravec,785-841-6776,,4106 W 6th St Ste C,Lawrence,KS,Douglas,66049,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs); address recovered from page's embedded office-location JSON"
Kaitlan Fishburn,Kaitlan Fishburn & Associates LLC,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lawrence/kaitlan-fishburn,785-841-8008,,3010 Four Wheel Dr Ste 2,Lawrence,KS,Douglas,66047-3149,2026-08-24,"American Family Insurance agent sitemap (amfam.com/sitemap.xml, agents/kansas/lawrence/ URLs) + agent profile page"
