agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,Armed Forces Insurance (AFI) - Fort Leavenworth Office,Independent / Multiple Carriers (military-focused network of national carriers),Independent,Yes,Yes,https://www.afi.org/,(800) 255-6792,,655 Biddle Blvd,Fort Leavenworth,KS,Leavenworth,66027,2026-08-24,"Same organization/verification as the Leavenworth HQ record above; afi.org's Contact-Us page separately lists this Fort Leavenworth, KS walk-in branch address. Address corroborated by Google Places (""Armed Forces Insurance Exchange"", 655 Biddle Blvd) and Foursquare listings."
,Armed Forces Insurance (AFI) - Leavenworth Headquarters,Independent / Multiple Carriers (military-focused network of national carriers),Independent,Yes,Yes,https://www.afi.org/,(800) 255-6792,,550 W Eisenhower Rd,Leavenworth,KS,Leavenworth,66048,2026-08-24,"afi.org states ""AFI's dedicated agents shop our network of national carriers to find the best value,"" and lists military homeowner, military renter, and military auto insurance; explicitly serves military families (founded 1887 to ""protect the people who protect our nation""). AFI's own Contact-Us page lists this Leavenworth, KS walk-in headquarters address and member-service phone number. Address corroborated by Google Places listing (""Armed Forces Insurance"", 550 W Eisenhower Rd)."
Brett Miller,"Brett Miller Agency, LLC",American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/leavenworth/brett-miller,913-682-5212,,1918 S 4th St,Leavenworth,KS,Leavenworth,66048,2026-08-24,amfam.com/sitemap.xml -> agent profile page (fetched directly)
Christina Sliski,Christina Sliski Ins Agcy,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/basehor/christina-sliski-wr1m45fzjak,913-682-8888,,15516 Crestwood Dr,Basehor,KS,Leavenworth,66007,2026-08-24,statefarm.com/agent/us/ks/basehor locator page (fetched directly)
Christopher Krysak,Christopher Krysak - COUNTRY Financial Agent,COUNTRY Financial,Captive,Yes,Yes,https://agents.countryfinancial.com/usa/ks/lansing/christopher-krysak,(816) 381-8591,,712 1st Terrace Ste 220D,Lansing,KS,Leavenworth,66043,2026-08-24,"Google Places API (Text Search 'COUNTRY Financial agent in Lansing, KS' + Place Details); countryfinancial.com agent page returned HTTP 403 (bot-blocked) on direct fetch"
Doug Conrad,"Conrad Insurance Agency, Inc.",Independent / Multiple Carriers (incl. Travelers),Independent,Yes,Yes,,(913) 724-4466,,18985 178th St,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"Google Places API (Text Search 'farm mutual insurance Leavenworth County KS' + Place Details, business_status OPERATIONAL); Google reviews name agent Doug Conrad, describe long-term personal policy servicing ('several changes to the policies' after a spouse's death) and reference 'the national Travelers claims department,' confirming a Travelers-affiliated independent agency writing personal auto/home lines; conradinsuranceagency.com now redirects to an unrelated Indiana agency (conradgroupinsurance.com), so no owned website could be verified for the Kansas office."
Deron Ertel,Deron Ertel Agency,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/leavenworth/deron-ertel,913-297-2570,,"4601 Brewer Pl, Ste B",Leavenworth,KS,Leavenworth,66048,2026-08-24,agents.farmers.com/ks/leavenworth/ locator page (fetched directly)
,"Evans Insurance (Evans Real Estate Co., Inc.)",Independent / Multiple Carriers,Independent,Yes,Yes,http://evansinsuranceks.com/,(913) 845-2400,,502 E 4th St,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"evansinsuranceks.com describes the firm as ""Tonganoxie's Home-Town"" family-owned independent real estate and insurance agency; personal-insurance page lists Home, Automobile, Renter's, Rental Dwelling, Motorcycle, RV, Umbrella and Life coverage. Address/phone confirmed via Google Places and Foursquare (Foursquare also lists it as dba ""Evans Real Estate Co Inc"" / ""Evans Insurance Agency"" at the same address)."
Devon Burrell,Farm Bureau Financial Services: Devon Burrell,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/devonburrell,(913) 651-6167,,4501 Commercial Pl Ste B,Leavenworth,KS,Leavenworth,66048,2026-08-24,"Google Places API (Text Search 'Farm Bureau Financial Services agent in Leavenworth, KS' + Place Details); fbfs.com find-an-agent locator is a JS-rendered SPA that returns no server-side data on direct fetch, so confirmed via Google Places instead"
Jerry Sanders,Farm Bureau Financial Services: Jerry Sanders,Kansas Farm Bureau (Farm Bureau Financial Services),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/jerrysanders,(913) 845-2622,,525 E 4th St,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"Google Places API (Text Search 'Farm Bureau Financial Services agent in Tonganoxie, KS' + Place Details); fbfs.com find-an-agent locator is a JS-rendered SPA that returns no server-side data on direct fetch, so confirmed via Google Places instead"
Michael Taylor,Farmers Insurance - Michael Taylor,Farmers Insurance,Captive,Yes,Yes,http://www.farmers.com,(913) 422-2095,,15520 State Ave,Basehor,KS,Leavenworth,66007,2026-08-24,Foursquare listing verified against farmers.com; Farmers Insurance operates via captive exclusive agents selling personal auto and home insurance
,"Financial Strategies, Inc.","Independent / Multiple Carriers (Travelers, Nationwide, Progressive, and 50+ others)",Independent,Yes,Yes,http://www.fsiplan.com/,(913) 758-4450,,100 S 4th St,Leavenworth,KS,Leavenworth,66048,2026-08-24,"fsiplan.com states the agency has offered personal auto and homeowners insurance (plus commercial and financial planning) since 1992, representing Travelers, Nationwide, Progressive, and 50+ other carriers; parent company is Mutual Savings Association. Address/phone confirmed via Google Places and Foursquare."
,Fladung Insurance Agency,Independent / Multiple Carriers (incl. Travelers),Independent,Yes,Yes,https://www.travelers.com/FindAgent/All/KS/LANSING/FLADUNG-INSURANCE-AGENCY,(913) 727-1088,,1000 N Main St,Lansing,KS,Leavenworth,66043,2026-08-24,Listed on Travelers' independent-agent locator tool; Travelers distributes personal auto and home lines through independent agencies rather than exclusive/captive agents
