law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Angelica Menelina Nunez,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Anna Schneider Law,,,,,TX,Johnson,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Ashlyn Taylor Kemmann,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Bettina Ayna Ballet,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Dale Stanley Hanna,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
David James Gearhart,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Deborah Ann Rudolph,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Dynamic Legal Consulting,,,,,TX,Johnson,469-751-2201,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Faigin Law Firm PLLC,https://www.faiginlawfirm.com/,,,,TX,Johnson,817-910-7275,amber@faiginlawfirm.com,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Holly B. Harrison,,,,,TX,Johnson,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Jade E. Toth,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Javier Luis Villarreal,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Jeffrey Wayne Gott,,,,,TX,Johnson,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-13,State Bar of Texas Member Directory
John Heo,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Laura Bloodworth Waghorne,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Lee Byron McClendon,,,,,TX,Johnson,432-631-7853,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Margaret Sullivan Jones,,,,,TX,Johnson,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
Matthew Overpeck,,,,,TX,Johnson,813-414-3001,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Mayra Yanet Varela,,,,,TX,Johnson,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
Nicole Breana Pirog,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Rachel Elise Farmer Edwards,,,,,TX,Johnson,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-13,State Bar of Texas Member Directory
Raymond M. Meeks,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Richard H. Bartley,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
"Robin C. Kret, PLLC",,,,,TX,Johnson,409-659-9033,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
Roque Damian Moreira,,,,,TX,Johnson,,,Workers' Compensation,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Sam Wesley Schmidt,,,,,TX,Johnson,817-641-4451,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
Samuel Joseph Jordan,,,,,TX,Johnson,817-300-9690,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-13,State Bar of Texas Member Directory
Schumacher Lane PLLC,,,,,TX,Johnson,,,Bankruptcy,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
Tayler Rhae Canton,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Teris Solis,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Wendy Lynn Cammack,,,,,TX,Johnson,,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
William Sidney Vanderland,,,,,TX,Johnson,432-413-0505,,General,,,Dallas-Fort Worth,4,1,2026-09-13,State Bar of Texas Member Directory
Ylanan Law Firm PLLC,,,,,TX,Johnson,817-494-1580,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-13,State Bar of Texas Member Directory
