law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
John R. Horst,,,,Caney,KS,Montgomery,620-879-2146,,General,"207 W 4th, Po Box 560",67333,,4,
"Patricia A. Horton, PA",https://healthcare.ascension.org/doctors/1912336108/patricia-aileen-horton-caney-ks,,,Caney,KS,Montgomery,(620) 879-2182,,General,218 W 4th Ave,67333,,4,
Hassenplug Michael W,,https://www.google.com/maps/place/?q=place_id:ChIJFW2o2PeEt4cR68meJV_Jy4s,,Coffeyville,KS,Montgomery,(620) 251-8300,,General,114 W 8th St,67337,,4,
Jeff Gossard Law Office,,,,Coffeyville,KS,Montgomery,,,General,714 Walnut St #100,67337,,4,
Kritz Paul M,,https://www.google.com/maps/place/?q=place_id:ChIJ291j4veEt4cR9dsYqu_jH50,,Coffeyville,KS,Montgomery,(620) 251-1300,,General,815 S Union St,67337,,4,
Philip J. Bernhart,,,,Coffeyville,KS,Montgomery,620-251-6678,,General,PO Box 273,67337,,4,
SEK Law,,https://www.google.com/maps/place/?q=place_id:ChIJFbSGf1iEt4cRneyupOgyItM,,Coffeyville,KS,Montgomery,,,General,121 W 8th St,67337,,4,
Schneider Law Offices,https://jobsbr.info,https://www.google.com/maps/place/?q=place_id:ChIJsdVRnViEt4cRS_MMsXZbE94,,Coffeyville,KS,Montgomery,(620) 251-6530,,General,415 W 11th St #1,67337,,4,
Southeast Ks Legal Associates Pa,,https://www.google.com/maps/place/?q=place_id:ChIJA9d83_eEt4cRHqZUosQ-K3k,,Coffeyville,KS,Montgomery,(620) 251-5950,,General,714 S Walnut St,67337,,4,
Spigarelli Angela,http://www.spigarelli-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJA4GrU_SEt4cRt40bft-yqIE,,Coffeyville,KS,Montgomery,(620) 251-5590,,General,720 Maple St,67337,,4,2
The Law Office of William L. Phalen,https://phalenlawfirm.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Coffeyville,https://www.google.com/maps/place/?q=place_id:ChIJicxsEGKEt4cRsjlaaxuN5MI,,Coffeyville,KS,Montgomery,(620) 251-3470,,General,1013 W 8th St,67337,,4,
Young Grady,http://www.seklaw.org,https://www.google.com/maps/place/?q=place_id:ChIJz1wOahaCt4cROE56_WnK4bg,,Coffeyville,KS,Montgomery,(620) 251-9000,,General,121 W 8th St,67337,,4,2
Borders Bruce E,,,,Independence,KS,Montgomery,(620) 331-8600,beborders.lawyer@gmail.com,General,200 Arco Pl,67301,,4,
Fitzpatrick & Bass,,,,Independence,KS,Montgomery,(620) 331-4710,,General,112 W Laurel St,67301,,4,
