provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
Back To Health Wellness Center Inc,https://backtohealthwellnesscenter.com,(620) 223-0570,Chiropractor,Fort Scott,KS,Bourbon County,202 State St Suite B,66701,,1255647533
Crank Chiropractic Care Inc,https://cranktherapy.com,(620) 223-3909,Chiropractor,Fort Scott,KS,Bourbon County,325 E Wall St,66701,,1366750093
"Erin M Crank, D.C.",https://cranktherapy.com,(620) 223-3909,Chiropractor,Fort Scott,KS,Bourbon County,325 E Wall St,66701,,1619289717
"Ethan Neil Couch, D.C.",,(620) 644-5000,Chiropractor,Fort Scott,KS,Bourbon County,203 E 3Rd St,66701,,1770393704
"Frank David Miller, D.C.",,(888) 777-9170,Chiropractor,Fort Scott,KS,Bourbon County,2322 S Main St,66701,,1609985795
Hartman Spine & Joint Llc,https://fortscott.biz/news/hartman-spine-and-joint,(620) 223-1150,Chiropractor,Fort Scott,KS,Bourbon County,302 E 23Rd St,66701,,1700262847
"Heather Catherine Davis, DC",,(620) 200-4872,Chiropractor,Fort Scott,KS,Bourbon County,13 S National Ave,66701,,1659785525
"Kaylee J Clifton, D.C.",,(620) 644-5000,Chiropractor,Fort Scott,KS,Bourbon County,203 E 3Rd St,66701,,1558740811
"Spine Clinic, Llc",https://spineclinic.com,(620) 223-2990,Chiropractor,Fort Scott,KS,Bourbon County,15 N Main St,66701,,1538477690
"Thomas Dale Reifschneider, D.C.",,(620) 223-3050,Chiropractor,Fort Scott,KS,Bourbon County,114 N National Ave,66701,,1003919242
"Grant Hartman, DC",,(620) 231-9873,Chiropractor,Pittsburg,KS,Bourbon County,3011 N Michigan St,66762,,1679966105
"Bradbury Therapy Consultants, Llc",https://bradburywellness.com,(620) 215-2154,Physical Therapist,Fort Scott,KS,Bourbon County,323 E Wall St,66701,,1003014358
"Cheryl Ogran, RPT",https://bradburywellness.com,(615) 896-6400,Physical Therapist,Fort Scott,KS,Bourbon County,915 Horton St,66701,,1982805214
"Eric D Baldonado, MSPT",,(620) 223-7029,Physical Therapist,Fort Scott,KS,Bourbon County,401 Woodland Hills Blvd,66701,,1649468232
I Am Rehab Llc,https://fortscott.com/list/member/i-am-rehab-fitness-5592,(620) 875-3801,Physical Therapist,Fort Scott,KS,Bourbon County,405 Woodland Hills Blvd,66701,,1609343094
Janet Elaine Smith,https://fortscott.com/list/member/i-am-rehab-fitness-5592,(913) 471-4634,Physical Therapist,Fort Scott,KS,Bourbon County,405 Woodland Hills Blvd,66701,,1386113751
"Katricia Bradbury, MSPT",https://bradburywellness.com,(620) 215-2154,Physical Therapist,Fort Scott,KS,Bourbon County,915 Horton St,66701,,1134265085
"Melinda Koester-Combs, RPT",,(913) 206-7898,Physical Therapist,Fort Scott,KS,Bourbon County,2622 Locust Rd,66701,,1952127409
"Meredith Tucker, MSPT",,(913) 406-8040,Physical Therapist,Fort Scott,KS,Bourbon County,961 240Th St,66701,,1851595946
"Southeast Kansas Orthopedic And Sports Physical Therapy, Llc",https://fortscott.com/list/member/sek-ortho-sport-physical-therapy-fort-scott-1129,(620) 223-4555,Physical Therapist,Fort Scott,KS,Bourbon County,1623 S Main St,66701,,1396844874
"William B Allen, RPT,ATC",https://fortscott.com/list/member/sek-ortho-sport-physical-therapy-fort-scott-1129,(620) 223-4555,Physical Therapist,Fort Scott,KS,Bourbon County,1623 S Main St,66701,,1356452502
"Dennis B Gillard, PT",,(620) 724-5159,Physical Therapist,Girard,KS,Bourbon County,302 N Hospital Dr,66743,,1124100276
"Jeffrey Doolittle, DPT",https://serc.urpt.com/locations/ottawa/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(785) 242-2113,Physical Therapist,Ottawa,KS,Bourbon County,1410 S Main St,66067,,1073285300
