provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
Michael L Ray,,(316) 361-0620,Chiropractor,Andover,KS,Johnson County,1145 N Andover Rd Ste 109,67002,,1033535695
"Don Reith, Dc, Pa",,(913) 583-3700,Chiropractor,De Soto,KS,Johnson County,33255 Lexington Ave Suite B,66018,,1912108531
Beck Chiropractic Center Llc,,(319) 504-5806,Chiropractor,Gardner,KS,Johnson County,969 E Lincoln Ln,66030,,1124788419
"Britney Ward, Chiropractic Doctor",,(913) 856-7067,Chiropractor,Gardner,KS,Johnson County,122 E Park St,66030,,1821605007
Catalyst Chiropractic Llc,https://catalystchiropractic.org,(913) 286-4968,Chiropractor,Gardner,KS,Johnson County,122 E Park St,66030,,1124618178
Cook Family Chiropractic Inc.,https://cookfamilychiropractic.com,(913) 244-4704,Chiropractor,Gardner,KS,Johnson County,969 E. Lincoln Ln.,66030,,1609061795
"David A Hedman, D.C.",,(913) 884-2057,Chiropractor,Gardner,KS,Johnson County,1815 E Santa Fe St,66030,,1386672590
Rentas Holistic Care Llc,,(913) 832-3030,Chiropractor,Gardner,KS,Johnson County,550 E. Lakota St.,66030,,1851709562
"Tobi Jeurink, D.C.",,(913) 856-4595,Chiropractor,Gardner,KS,Johnson County,325 E Main St Ste C,66030,,1184784092
"Todd James Winters, D.C.",,(913) 856-8135,Chiropractor,Gardner,KS,Johnson County,802 E Main St,66030,,1033168752
"George Casey Baker, D.C.",,(913) 287-7171,Chiropractor,Kansas City,KS,Johnson County,5435 Kansas Avenue,66106,,1841397387
"Zachary Paul Franz, DC",,(913) 308-0402,Chiropractor,Kansas City,KS,Johnson County,7569 State Ave,66112,,1013739721
"Emily Rains, DC, ATC",,(785) 856-0825,Chiropractor,Lawrence,KS,Johnson County,4824 Quail Crest Pl Ste A,66049,,1386186419
"Hira Fatima Khan, D.C.",,(785) 331-4515,Chiropractor,Lawrence,KS,Johnson County,5020 Bob Billings Pkwy Ste B,66049,,1467011338
"Jacob T Holbrooks, DC",,(785) 832-8700,Chiropractor,Lawrence,KS,Johnson County,1440 Wakarusa Dr Ste 400,66049,,1528924636
"Jon Mccormick, D.C.",,(785) 749-0130,Chiropractor,Lawrence,KS,Johnson County,1104 E 23Rd St,66046,,1295913317
"Kailee Logan, D.C",,(785) 865-8865,Chiropractor,Lawrence,KS,Johnson County,3801 W 6Th St,66049,,1487357380
"Active Health Chiropractic & Rehab, P.A.",,(913) 685-2427,Chiropractor,Leawood,KS,Johnson County,5337 W 151St St,66224,,1598808982
"Adam Love, D.C.",,(913) 302-6901,Chiropractor,Leawood,KS,Johnson County,4600 College Blvd Suite 105,66211,,1427440106
"Adjust Your Health Chiropractic And Acupuncture, Llc",https://adjustyourhealthchiropractic.com/,(913) 681-7757,Chiropractor,Leawood,KS,Johnson County,4953 W 135Th St,66224,,1215174388
"Amy Jo Bates-Daly, D.C.",,(913) 489-7055,Chiropractor,Leawood,KS,Johnson County,4701 College Blvd Ste 103,66211,,1427359801
Aspire Back Pain & Rehab Clinic,https://aspirechiro.com,(913) 381-2388,Chiropractor,Leawood,KS,Johnson County,8700 State Line Rd Ste 110,66206,,1376554287
Bethesda Chiropractic And Accupuncture Inc,https://bethesdachiropractic.com,(913) 341-1930,Chiropractor,Leawood,KS,Johnson County,"8014 State Line Rd., Suite 101",66208,,1851508931
Bodywerkz Llc,,(913) 271-4272,Chiropractor,Leawood,KS,Johnson County,11301 Ash St,66211,,1821382300
"Brandon Lee Thomas Van Anne, DC",,(620) 794-5466,Chiropractor,Leawood,KS,Johnson County,7000 W 121St St Ste 100,66209,,1558933887
"Carl S Cleveland Iv, Dc Llc",,(913) 341-4300,Chiropractor,Leawood,KS,Johnson County,8016 State Line Rd Ste 100,66208,,1578858270
"Catalyst Health Center, Pa",https://catalystchiro.com,(913) 345-9888,Chiropractor,Leawood,KS,Johnson County,12256 State Line Rd,66209,,1538589767
"Chadwick W. Hawk, D.C.",,(913) 334-7340,Chiropractor,Leawood,KS,Johnson County,4707 College Blvd Ste 106,66211,,1538103445
"Christina Ann Carter, D.C.",,(913) 861-7757,Chiropractor,Leawood,KS,Johnson County,4953 W 135Th St,66224,,1184861254
"Dinkel Chiropractic And Acupuncture, Pa",https://dinkelchiropractic.com,(913) 338-0907,Chiropractor,Leawood,KS,Johnson County,5320 W 151St St,66224,,1174897722
Dr Jill Chiropractic And Acupuncture Pa,,(913) 499-7053,Chiropractor,Leawood,KS,Johnson County,7000 W 121St St Suite 100,66209,,1275927584
"Klancee J Willis Dc, Pa",,(913) 696-9980,Chiropractor,Leawood,KS,Johnson County,13010 State Line Rd,66209,,1801006101
"Klancee Jean Willis, DC",,(816) 214-5122,Chiropractor,Leawood,KS,Johnson County,13010 State Line Rd,66209,,1700095619
"Larisa Schabel, DC",,(913) 345-4840,Chiropractor,Leawood,KS,Johnson County,3601 W 133Rd St,66209,,1982016010
"Lehi B. Swan, D.C.",,(913) 239-0202,Chiropractor,Leawood,KS,Johnson County,4835 W 135Th St,66224,,1467643510
Love Chiropractic Llc,https://lovechiropractic.com,(913) 305-3959,Chiropractor,Leawood,KS,Johnson County,4600 College Blvd Suite 105,66211,,1043603301
"Mark T Pfefer, D.C.",,(816) 536-5111,Chiropractor,Leawood,KS,Johnson County,4835 W 135Th St,66224,,1215012927
"Matthew John Holman, D.C",,(913) 735-5717,Chiropractor,Leawood,KS,Johnson County,4707 College Blvd Ste 106,66211,,1487159257
"Summit Therapeutic Services, Llc",https://summittherapeuticservices.com,(816) 400-3697,Chiropractor,Leawood,KS,Johnson County,8900 State Line Rd Ste 414,66206,,1841766425
Troy C Peters,,(816) 665-3455,Chiropractor,Leawood,KS,Johnson County,12100 State Line Rd,66209,,1902651649
Vital Roots Chiropractic Llc,https://vitalrootschiropractic.com,(913) 754-7004,Chiropractor,Leawood,KS,Johnson County,14300 Kenneth Rd,66224,,1851070155
Adjust To Health Llc,https://adjustchiropractic.com,(913) 299-6000,Chiropractor,Lenexa,KS,Johnson County,8724 Bourgade Ave.,66219,,1982822144
"Andrew Schriever, DC",,(913) 322-4100,Chiropractor,Lenexa,KS,Johnson County,11001 Hauser St,66210,,1235883380
Ashley Nicole Collins,,(913) 776-0469,Chiropractor,Lenexa,KS,Johnson County,9039 Renner Blvd Apt 1706,66219,,1275483240
"Beal Chiropractic, Llc",,(913) 687-9948,Chiropractor,Lenexa,KS,Johnson County,10072 Woodland Dr,66220,,1245968163
"Breanna Kay Bezona Rodriguez, DC",,(913) 732-7832,Chiropractor,Lenexa,KS,Johnson County,12351 West 96Th Ter Suite 207,66215,,1104442193
Brenda Casey Chiropractic Pa,https://drbrenda.com,(913) 894-4428,Chiropractor,Lenexa,KS,Johnson County,15545 W 87Th St,66219,,1639342967
Brianna Torres,,(913) 709-5310,Chiropractor,Lenexa,KS,Johnson County,15545 W 87Th St,66219,,1043169063
"Casey L Merritt, D.C.",,(913) 888-6262,Chiropractor,Lenexa,KS,Johnson County,8825 Long St,66215,,1598832388
"Chantel A Sramek Braasch, D.C,, B.S.",,(913) 901-7787,Chiropractor,Lenexa,KS,Johnson County,9076 Parkhill St,66215,,1467735613
Chiro One Wellness Center Of Lenexa Llc,,(630) 468-1824,Chiropractor,Lenexa,KS,Johnson County,16966 City Center Dr,66219,,1619625480
"Christopher J Timmer, D.C.",,(913) 307-0150,Chiropractor,Lenexa,KS,Johnson County,15203 W 87Th Street Pkwy,66219,,1548370471
"Colt Mangus, DC",,(913) 308-0300,Chiropractor,Lenexa,KS,Johnson County,16966 City Center Dr,66219,,1023709904
"Connor Thomas, DC",,(913) 667-9126,Chiropractor,Lenexa,KS,Johnson County,7797 Quivira Rd,66216,,1255923926
Core Element Chiropractic Llc,,(913) 735-9565,Chiropractor,Lenexa,KS,Johnson County,7904 Quivira Rd,66215,,1396569356
Core Medical Center Ks Llc,,(816) 229-1941,Chiropractor,Lenexa,KS,Johnson County,10951 Lakeview Ave Clinic D,66219,,1215685144
