provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
"Chelsie Stainbrook, D.C.",,(913) 757-2003,Chiropractor,La Cygne,KS,Linn County,210 North Commercial Street,66040,,1699015545
Jaccard Chiropractic,https://jaccardchiropractic.com,(913) 709-2364,Chiropractor,La Cygne,KS,Linn County,416 Market Street Suite B,66040,,1982867925
Lacygne Chiropractic Clinic Llc,,(913) 757-2003,Chiropractor,La Cygne,KS,Linn County,210 Commercial St,66040,,1578957809
"Lindsey M Jaccard, D.C.",http://jaccardchiropractic.com/,(913) 757-4044,Chiropractor,La Cygne,KS,Linn County,618 Market St,66040,,1952589947
Linn County Chiropractic,,(913) 757-3600,Chiropractor,Lacygne,KS,Linn County,121 N. Broadway,66040,,1083797567
"Lonnie Baker, D.C.",,(913) 757-3600,Chiropractor,Lacygne,KS,Linn County,121 Broadway St,66040,,1982631529
"Carpenter Chiropractic Health Center, Llc",http://www.carpenterchiropractic.com/,(913) 352-8344,Chiropractor,Pleasanton,KS,Linn County,714 Main St,66075,,1245500875
"Chase R Carpenter, DC",https://carpenterchiropractic.com/,(913) 352-8344,Chiropractor,Pleasanton,KS,Linn County,714 Main,66075,,1467558676
Clifton Chiropractic Llc,https://cliftonchiropractic.com,(913) 352-8344,Chiropractor,Pleasanton,KS,Linn County,714 Main St,66075,,1659750024
"Jessie L Robertson, PT, DPT",,(888) 777-9170,Physical Therapist,Pleasanton,KS,Linn County,11155 Tucker Rd,66075,,1770011249
