provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
"Lane Dalton Smith, D.C.",,(620) 342-3188,Chiropractor,Emporia,KS,Marion County,2708 W 12Th Ave,66801,,1861661936
Chirocorp Pa,https://chirocorp.com,(620) 242-3015,Chiropractor,Hillsboro,KS,Marion County,122 S Main St,67063,,1194819722
"Kodi Nichole Panzer, D.C.",https://chirocorp.com,(620) 947-3157,Chiropractor,Hillsboro,KS,Marion County,122 S Main St,67063,,1073673489
"Kyler Clawson, D.C.",https://chirocorp.com,(620) 947-3157,Chiropractor,Hillsboro,KS,Marion County,122 S Main St,67063,,1750749032
"Panzer Chiropractic Clinic, P.A.",https://chirocorp.com,(620) 947-3157,Chiropractor,Hillsboro,KS,Marion County,122 S Main St,67063,,1376796755
"Bruce Martin Skiles, CRNA DC",,(620) 382-3711,Chiropractor,Marion,KS,Marion County,537 S Freeborn St,66861,,1952317760
Fay Family Chiropractic,,(816) 805-7083,Chiropractor,Marion,KS,Marion County,410 E Main St,66861,,1962862748
Fay Family Chiropractic Llc,,(620) 381-2142,Chiropractor,Marion,KS,Marion County,410 E Main St,66861,,1821504242
"Heather Anne Fay, DC",,(816) 805-7083,Chiropractor,Marion,KS,Marion County,410 E Main St,66861,,1366803157
"Paul Daniel Fay, DC",,(620) 381-2142,Chiropractor,Marion,KS,Marion County,410 E Main St,66861,,1033646500
Smith Chiropractic And Acupuncture Llc,,(620) 343-9900,Chiropractor,Marion,KS,Marion County,331 E Main St,66861,,1881944130
"Amber Mae Monson, A.T.C., D.P.T.",,(620) 947-1425,Physical Therapist,Hillsboro,KS,Marion County,701 S Main St,67063,,1770822363
Eva Franz,,(620) 382-2863,Physical Therapist,Marion,KS,Marion County,535 S Freeborn St,66861,,1124908991
Jacob Simmonds,,(620) 382-2177,Physical Therapist,Marion,KS,Marion County,535 S Freeborn St,66861,,1760943732
"Jamee Renee Funk, DPT",,(620) 382-2863,Physical Therapist,Marion,KS,Marion County,535 S Freeborn St,66861,,1033551296
"Jennica Nadine O'Neill, DPT",,(620) 382-2177,Physical Therapist,Marion,KS,Marion County,535 S Freeborn St,66861,,1124691878
"Sheryl Jean Simmonds, LPT",,(620) 382-2863,Physical Therapist,Marion,KS,Marion County,535 S Freeborn St,66861,,1255450862
"Xenophon Phillip Smith, PT",,(620) 382-2191,Physical Therapist,Marion,KS,Marion County,302 Elm St,66861,,1255541637
"Nicholas Enzinna Sharp, DPT",,(316) 836-4800,Physical Therapist,North Newton,KS,Marion County,3001 Ivy Dr,67117,,1750769600
