provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
"Bayless Chiropractic, Llc",,(605) 413-9389,Chiropractor,Caney,KS,Montgomery County,110 N State St,67333,,1609586767
"Mckenna Bayless, DC",,(605) 413-9389,Chiropractor,Caney,KS,Montgomery County,110 N State St,67333,,1508576992
Coffeyville Chiropractic,https://coffeyvillechiropractic.com,(620) 688-6159,Chiropractor,Coffeyville,KS,Montgomery County,411 1/2 W 11Th St,67337,,1629318159
"David C. Bumgarner, D.C., P.A.",,(620) 251-2970,Chiropractor,Coffeyville,KS,Montgomery County,509 Maple St,67337,,1659658599
Empower Chiropractic And Family Wellness,https://empowerchiro.com,(620) 291-4969,Chiropractor,Coffeyville,KS,Montgomery County,111 W 8Th St Ste 5,67337,,1992651582
"Heath Haffener, D.C.",,(620) 251-1515,Chiropractor,Coffeyville,KS,Montgomery County,"1901 W 4Th St Bldg B, Ste #1",67337,,1336160332
"Jacob Robert Maxwell Stoneberger, DC",https://stonebergerhealth.com,(785) 914-9365,Chiropractor,Coffeyville,KS,Montgomery County,1314 W 11Th St Ste A,67337,,1871451054
"Kerry Louise Mersberg, DC CPed",,(620) 251-4848,Chiropractor,Coffeyville,KS,Montgomery County,107 W 12Th St,67337,,1124209333
Stoneberger Performance And Family Care Llc,https://stonebergerhealth.com,(620) 203-2579,Chiropractor,Coffeyville,KS,Montgomery County,1314 W 11Th St Ste A,67337,,1063371037
"Traeger Nelson Tvedten, D.C.",https://coffeyvillechiropractic.com,(620) 688-6159,Chiropractor,Coffeyville,KS,Montgomery County,411 1/2 West 11Th Street,67337,,1669725396
"Amanda Jo Johnson, D.C.",,(620) 331-3600,Chiropractor,Independence,KS,Montgomery County,1605 N Penn Ave,67301,,1083855977
Bbac Independence Chiropractic,https://independencechiropractic.com,(620) 331-5240,Chiropractor,Independence,KS,Montgomery County,720 W Laurel St,67301,,1245554658
"Cole Pasternak, D.C.",https://independencechiropractic.com,(620) 331-5240,Chiropractor,Independence,KS,Montgomery County,720 W Laurel St,67301,,1760848675
"Jeremiah B Johnson, D.C.",,(620) 331-5300,Chiropractor,Independence,KS,Montgomery County,1802 W Main St Suite B,67301,,1699922831
"Kenneth Ray Vanommen, D.C.",,(620) 331-4737,Chiropractor,Independence,KS,Montgomery County,5680 N Us Highway 75,67301,,1326026592
"Logan Alan Null, DC",https://nullchiropractic.com,(620) 331-1520,Chiropractor,Independence,KS,Montgomery County,204 E Chestnut St,67301,,1740768993
Null Chiropractic Llc,https://nullchiropractic.com,(620) 331-1520,Chiropractor,Independence,KS,Montgomery County,204 E Chestnut St,67301,,1487906889
"Scott A Null, D.C.",https://nullchiropractic.com,(620) 331-1520,Chiropractor,Independence,KS,Montgomery County,204 E Chestnut St,67301,,1689695553
"Steven Wesley Chapman, D.C.",https://independencechiropractic.com,(620) 331-5240,Chiropractor,Independence,KS,Montgomery County,800 W Chestnut St Suite 3,67301,,1134130123
"Julie A Wittum, P.T.",,(620) 325-2253,Physical Therapist,Cherryvale,KS,Montgomery County,122 S Neosho,67335,,1649602376
Advanced Pt Coffeyville Llc,https://coffeyvillechiropractic.com,(620) 251-5839,Physical Therapist,Coffeyville,KS,Montgomery County,2205 W 8Th St,67337,,1255362513
Carrie Ann Pitts,,(620) 251-5291,Physical Therapist,Coffeyville,KS,Montgomery County,4399 Cr 2800,67337,,1861782146
"Sharon R Marquez, P.T.",https://coffeyvillechiropractic.com,(620) 251-5839,Physical Therapist,Coffeyville,KS,Montgomery County,2205 W 8Th St,67337,,1780771519
"Tiffany E Nations, RPT",http://www.priebpropertymanagement.com/,(615) 896-6400,Physical Therapist,Coffeyville,KS,Montgomery County,720 W 1St St,67337,,1063674695
Advanced Pt Independence Llc,https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,800 W Chestnut St Ste 3,67301,,1710088828
Advanced Pt Llc,https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1336320340
"Cori Nichole Hall, DPT",https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1396153391
Emily Haynes,https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1679975668
Garrett Smith,https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1740112010
Sarah Woelk,https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1609506807
"Valerie J Jones, PT",,(620) 330-6231,Physical Therapist,Independence,KS,Montgomery County,1201 W Oak St,67301,,1578794327
"William A Rice, PT",https://advancedpt.com,(620) 331-0999,Physical Therapist,Independence,KS,Montgomery County,118 W Main St,67301,,1376183111
Katherine Jaworski,,(620) 325-2253,Physical Therapist,Neodesha,KS,Montgomery County,602 Main St,66757,,1023327731
