provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
Cordell Chiropractic Clinic Llc,https://cordellchiro.com,(620) 509-7977,Chiropractor,Lyons,KS,Rice County,108 W Commercial St,67554,,1497245005
David L. Liska Dc Pa,https://ludwigfamilychiropractic.com,(620) 257-2040,Chiropractor,Lyons,KS,Rice County,400 W Main St,67554,,1821372152
"David Leyroy Liska, DC",https://ludwigfamilychiropractic.com,(620) 257-2040,Chiropractor,Lyons,KS,Rice County,400 W Main St,67554,,1386744381
"Lee J Norman, D.C.",https://normanchiropractic.com,(620) 257-3321,Chiropractor,Lyons,KS,Rice County,116 East Ave N,67554,,1083725378
Lj Norman Dc Llc,https://normanchiropractic.com,(620) 257-3321,Chiropractor,Lyons,KS,Rice County,116 East Ave N,67554,,1285785840
Ludwig Family Chiropractic Llc,https://ludwigfamilychiropractic.com,(620) 257-2040,Chiropractor,Lyons,KS,Rice County,400 W Main St,67554,,1700409802
"Naomi Aiko Patrnchak, DC",https://ludwigfamilychiropractic.com,(620) 257-2040,Chiropractor,Lyons,KS,Rice County,400 W Main St,67554,,1245876663
"Robert Brian Ludwig, DC",https://ludwigfamilychiropractic.com,(620) 257-2040,Chiropractor,Lyons,KS,Rice County,400 W Main St,67554,,1780232637
"Teresa M Cordell, DC",https://cordellchiro.com,(620) 509-7977,Chiropractor,Lyons,KS,Rice County,108 W Commercial St,67554,,1972005494
"Seth Cordell, DC",,(620) 904-7409,Chiropractor,Sterling,KS,Rice County,330 S Broadway Ave,67579,,1881151926
"Shannon Sterling Sauer, D.C.",,(620) 278-3800,Chiropractor,Sterling,KS,Rice County,316 W Washington Ave,67579,,1629177183
Ict Chiropractic And Acupuncture,,(620) 680-0809,Chiropractor,Wichita,KS,Rice County,7732 E Central Ave Suite 108,67206,,1649668435
"Katz Rehab Services, P.A.",https://advancedpt.com,(620) 662-3111,Physical Therapist,Hutchinson,KS,Rice County,2803 N Lorraine St Ste F,67502,,1578072377
Advanced Pt Lyons Llc,https://lyonschiropractic.com,(620) 257-1103,Physical Therapist,Lyons,KS,Rice County,118 W Commercial St,67554,,1417988759
"Carl M Patrnchak, PT",https://ludwigfamilychiropractic.com,(785) 534-2279,Physical Therapist,Lyons,KS,Rice County,400 W Main St,67554,,1639356744
"Karla D Peter, P.T.",https://lyonschiropractic.com,(620) 257-1103,Physical Therapist,Lyons,KS,Rice County,118 W Commercial St,67554,,1275620007
"Advanced Pt, Llc",https://advancedpt.com,(620) 204-6116,Physical Therapist,Sterling,KS,Rice County,239 N Broadway Ave,67579,,1629301155
"Jody Lynn Vesper, P.T.",,(620) 278-3651,Physical Therapist,Sterling,KS,Rice County,204 W Washington Ave,67579,,1174718753
Summit Surgical Llc,https://summitchiro.com,(620) 278-4338,Physical Therapist,Sterling,KS,Rice County,125 W Cooper St,67579,,1548044159
"Theodore David Wrench, MPT",https://advancedpt.com,(620) 204-6116,Physical Therapist,Sterling,KS,Rice County,315 W Washington Ave,67579,,1699979088
