law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"The Adam Law Firm, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=24833,Salina,KS,Saline,785-669-0077,,General,131 N Santa Fe Ste 110,67401,Salina,2,
Hampton & Royce LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27912,Salina,KS,Saline,785-827-7251,,General,119 W Iron Ave 10th Fl,67401,Salina,2,
Michael P. Alley,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19790,Salina,KS,Saline,785-822-4525,,General,2118 Raymond Ave,67401,Salina,2,
"CAD Law, LC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=29750,Salina,KS,Saline,785-407-9128,,General,207 W. Ash St,67401,Salina,2,
"Clark Mize & Linville, Chartered",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13637,Salina,KS,Saline,785-823-6325,,General,PO Box 380 - 129 S 8th St,67402-0380,Salina,2,
Kennedy Berkley PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19329,Salina,KS,Saline,785-825-4674,,General,"119 West Iron, 7th Fl, PO Box 2567",67402-2567,Salina,2,
"Municipal Court, City of Salina",,,https://directory-kard.kscourts.gov/Home/Details?regNum=21632,Salina,KS,Saline,785-826-7234,,General,255 N 10th,67402,Salina,2,
"Blackwell & Struble, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=12514,Salina,KS,Saline,785-823-5273,,General,400 E Iron Ave PO Box 795,67402-0795,Salina,2,
Salina Regional Public Defender's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25005,Salina,KS,Saline,785-827-9961,,General,119 W Iron 6th Fl,67401,Salina,2,
Kansas Department for Children and Families,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16537,Salina,KS,Saline,785-826-8000,,General,901 Westchester Dr. Ste A,67401,Salina,2,
"Dahlstrom Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=24538,Salina,KS,Saline,785-447-1966,,General,PO Box 311,67402,Salina,2,
