law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron M. Ruiz,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Adara Kumari Turedi,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Aida Vianey Nieto Meraz,,,,,TX,Williamson,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Aimee Reneau Tafreshi,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Alejandrina Macias Luna,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Alex R. Hernandez,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Alexander Joseph Bennett,,,,,TX,Williamson,,,Immigration,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Alexander Matthew Merced,,,,,TX,Williamson,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Aline Aucoin,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Alisa Ullian Walls,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Amanda Lee Martinez,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Amber Alayne Walker,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Amber Christine Platt,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Amber Renee Gilchrest,,,,,TX,Williamson,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
American Advisors Group,,,,,TX,Williamson,512-942-9558,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew D. Walker,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew Larkin Smith,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ann Lena Welch,,,,,TX,Williamson,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
