law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Bambick Joseph M,,,,Fredonia,KS,Wilson,(620) 378-2182,,General,430 N 7th St,66736,,4,
"Cherilyn Hearn, Attorney at Law",,,,Fredonia,KS,Wilson,620-652-1029,myksattorney@gmail.com,Criminal Defense,PO Box 521,66736,,5,
"Green Law Office, LLC",,,,Fredonia,KS,Wilson,620-291-4811,,General,522 Madison St,66736,,4,
Harris Law Office,http://www.harris-law-office.com,,,Fredonia,KS,Wilson,(620) 378-2553,,General,712 Madison St,66736,,4,
Holyoak Kerry D,http://www.my-kansas-lawyer.com,,,Fredonia,KS,Wilson,(620) 378-2019,,General,521 Madison St,66736,,4,
Jacob Green - Green Law Office,http://www.greenlaw.llc/,https://www.google.com/maps/place/?q=place_id:ChIJfVQ-niG3uYcRWx849_sWiYc,,Fredonia,KS,Wilson,(620) 378-4444,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Personal Injury,620 Madison St,66736,,5,
Depew Law Firm,http://www.depewlaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJGbMYr3g0uIcRBH8lohUL55o,,Neodesha,KS,Wilson,(620) 325-2626,doug@depewlaw.net,Family Law,620 Main St,66757,,4,
Gary House Attorney,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6199,Neodesha,KS,Wilson,620-870-0418,,General,P.O. Box 6,66757,,2,
Wilson County District Court,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12170,Fredonia,KS,Wilson,620-378-4361,,General,"615 Madison, Rm 214",66736,,2,
Wilson County Attorney Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27204,Fredonia,KS,Wilson,620-378-4115,,General,615 Madison St #201,66736,,2,
