law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
"Campbell Law Office, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17090,Atchison,KS,Atchison,(913) 367-9900,,General,107 N 6th St Ste 5 PO Box 276,66002,,2,,KS Courts Registry,2026-08-17
"Mears Hausmann, PA",https://www.mearshausmann.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=26436,Atchison,KS,Atchison,(913) 367-0850,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,Criminal Defense,"104 N. 6th St, Ste 1, P.O. Box 157",66002,,5,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
MGP Ingredients,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27376,Atchison,KS,Atchison,(913) 360-5439,,General,100 Commercial St,66002,,2,1,KS Courts Registry,2026-08-17
Foley & Buddenbohm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9241,Atchison,KS,Atchison,(913) 367-5246,,General,303 S Street,66002,,2,1,KS Courts Registry,2026-08-17
Senior Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9884,Atchison,KS,Atchison,(913) 367-8144,,General,1608 Country Club Rd,66002,,2,1,KS Courts Registry,2026-08-17
Patrick R. Hrenchir,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18839,Atchison,KS,Atchison,(913) 367-4705,,General,428 S 7th St,66002,,2,1,KS Courts Registry,2026-08-17
Law Office of Robert L Steffen,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19472,Atchison,KS,Atchison,(785) 267-7184,,General,PO Box 8,66002,,2,1,KS Courts Registry,2026-08-17
Ternent Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16279,Atchison,KS,Atchison,(913) 367-1790,,General,P.O. Box 396,66002,,2,1,KS Courts Registry,2026-08-17
Werring Law LLC,https://www.werringlaw.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=22184,Atchison,KS,Atchison,(913) 367-2424,,Estate Planning,110 N 5th St,66002,,2,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
"Kurth Law Office Inc, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13208,Atchison,KS,Atchison,(913) 367-2681,,General,304 Commercial St PO Box 333,66002,,2,,KS Courts Registry,2026-08-17
