law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Charles Gentry Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJdym0nsqhx4cRmRkkV6TvF_8,,Fort Scott,KS,Bourbon,(620) 223-1818,,Personal Injury,102 S Judson St,66701,,5,
"Diehl, Banwart, Bolton, Jarred & Bledsoe Chartered",http://www.dbbjb.com,,,Fort Scott,KS,Bourbon,(620) 223-4300,,Estate Planning,7 1/2 E Wall St,66701,,2,
Geoffrey Clark,https://www.masonclarklaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ15FyITChx4cR2zruJt_cdDw,https://directory-kard.kscourts.gov/Home/Details?regNum=18909,Fort Scott,KS,Bourbon,(620) 224-2200,office@masonclarklaw.com,Criminal Defense,120 S National Ave #207A,66701,,5,3
Harry E Warren Attorney,,https://www.google.com/maps/place/?q=place_id:ChIJhZYd68qhx4cRAmPK4hqo6xI,,Fort Scott,KS,Bourbon,(620) 223-4224,,General,116 S Judson St,66701,,4,
Hudson & Mullies,,https://www.google.com/maps/place/?q=place_id:ChIJj7zgnc-hx4cRGPZ4mtHXmlY,,Fort Scott,KS,Bourbon,(620) 223-2900,,General,710 W 8th St #203,66701,,4,
McElroy Law Office,,,,Fort Scott,KS,Bourbon,620-210-2124,,General,"1523 S Crawford St, PO Box 326",66701,,4,
Robert L. Farmer,https://nussandfarmer.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_SVgPcqhx4cRziTU1bC_mqU,https://directory-kard.kscourts.gov/Home/Details?regNum=7459,Fort Scott,KS,Bourbon,(620) 223-0150,,Criminal Defense,323 S Judson,66701,,5,
Wilbert & Towner,,https://www.google.com/maps/place/?q=place_id:ChIJkRyTICOix4cR19cDSbqLJTs,,Fort Scott,KS,Bourbon,(620) 223-2101,,General,399 E Hudson Rd,66701,,4,
"Gilbert Ernest Gregory, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=12827,Fort Scott,KS,Bourbon,620-223-5025,,General,124 S Main PO Box 305,66701,,2,
Law Office of Vance E. White,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16263,Fulton,KS,Bourbon,620-644-8133,,General,120 W Osage St,66738,,2,
"Reynolds Law Firm, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11238,Fort Scott,KS,Bourbon,620-223-1818,,General,5 E. Wall St,66701,,2,
