law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aarika Katherine McCloskey,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Abby Michelle Mudroc Goerig,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Abigail Jane Hueske Taylor,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Angela Joy Case Hindman,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Anna Kathryn Selby,,,,,TX,Brazos,,,Estate Planning,,,College Station-Bryan,2,1,2026-09-13,State Bar of Texas Member Directory
Anne Catherine McBroom,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Benjamin Joseph Steiner,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Carla A. Robinson,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Casey Dean Alani,,,,,TX,Brazos,979-693-8534,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Cheyenne Jayne Rogers Pate,,,,,TX,Brazos,,,Civil Litigation,,,College Station-Bryan,3,1,2026-09-13,State Bar of Texas Member Directory
Claire Michelle Lakin-Koel,,,,,TX,Brazos,,,Criminal Defense,,,College Station-Bryan,5,1,2026-09-13,State Bar of Texas Member Directory
Cody Russell Kerr,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Elianorazarak Vessali,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Emily Anne Erdmann,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Eugene D. Lyles,,,,,TX,Brazos,979-676-3366,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
GARLO WARD PC,https://www.garloward.com/,,,,TX,Brazos,512-302-1103,info@garloward.com,Employment Law,,,College Station-Bryan,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Gareth Austin Bevan,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Haley June Allene Fillmore,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Hogan Law Office,,,,,TX,Brazos,817-673-9229,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Jacob Peter Dustin,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Jason S. Ferguson,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Ahlen Carroll,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Joseph Ann Ottis,,,,,TX,Brazos,979-690-2228,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Joseph L. Nash,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Joshua Earl McWilliams,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Kaitlyn Rose Ready,https://riddlebutts.com/,,,,TX,Brazos,281-537-7110,,Estate Planning,,,College Station-Bryan,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Kerri Elizabeth Howard,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Kimberly Michelle Ellison Russell,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Leslie A. Tipton-Whitten,,,,,TX,Brazos,979-764-3506,,Criminal Defense,,,College Station-Bryan,5,1,2026-09-13,State Bar of Texas Member Directory
Marilyn B. Norrell,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Michael A. Smith,,,,,TX,Brazos,979-690-0493,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
Office of Injured Employee Counsel,,,,,TX,Brazos,866-393-6432,,Workers' Compensation,,,College Station-Bryan,5,1,2026-09-13,State Bar of Texas Member Directory
Parrish Brooks Chapman,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
"Sago Capital, LLC",,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Sara Michelle Kitchen,,,,,TX,Brazos,,,General,,,College Station-Bryan,4,1,2026-09-13,State Bar of Texas Member Directory
