law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
"A. G. Hill Partners, LLC",,,,,TX,Collin,214-922-1017,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Aaron Jay Epstein,,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Aarti Shah Balch,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Aasia M. Miller,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Abel Cervantes Ramirez,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Abid Steele,,,,,TX,Collin,432-940-9401,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Adegbola Oluwole Ogedengbe,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Adeyemi A. Rogers-Campbell,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Adriane Y. Swinton-Hayes,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Adrienne Elizabeth Parker Peters,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ahmad Jameel Muhammad,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Aila Irshad,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alex Daniel Guerrero,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexa Paris Shafron,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexander Timothy Kil,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexandra Jade Broom,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexandra Rose Chandler,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexia Kristin Baker,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alexis Faith Henke,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alice Louise King,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Allison Lauren Lee,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alma Zayre Hernandez,,,,,TX,Collin,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
Alvera F. Mandavia,,,,,TX,Collin,214-219-9900,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Alyssa Cindel Huynh-Cong,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Aman Ullah Khan,,,,,TX,Collin,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Amanda Elizabeth Alvarez,,,,,TX,Collin,214-384-5281,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Amanda Lyn Shaw,,,,,TX,Collin,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Amanda Star Christoffel,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Amar Anzar Hasan,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Amherst Robert Lamb,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Amin A. Tawakul,,,,,TX,Collin,734-709-6703,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Ammaar Khawaja Ikram,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ana Lian Bachmann,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Anahid Shirin Rahmani,,,,,TX,Collin,214-597-3517,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Andrea Christine Jensen,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Andrea H. Frye,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Andrew Engel Craven,,,,,TX,Collin,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Andrew Monroe Trusevich,,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Anna Rudo Size,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Annalee E. Jeffress,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Anne Klein Hill,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
"Ansira Partners II, LLC",,,,,TX,Collin,972-663-1222,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Anthony M. Karabon,,,,,TX,Collin,414-940-2639,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Anthony Yuan Zhang,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Arianna Genea Craver,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Arlene A. Wiese,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Arooj Zafar Nazir,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Arthur Johnson,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Asad Rahman,,,,,TX,Collin,214-384-6410,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Asha Tania Sidle,,,,,TX,Collin,972-324-2453,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ashley Burnette Smith,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ashley Homafar,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
"Ashley McSwain Law, PLLC",,,,,TX,Collin,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
Ashley Nichole Davis,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ashley Tseung,,,,,TX,Collin,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Ashurst Perkins Coie US LLP,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Asim Javaid Akhtar,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Asiya Salejee,,,,,TX,Collin,,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Asli Koksal,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Aubrey Joy Wright Stock,,,,,TX,Collin,469-525-0061,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Aubrie Erin Lee Rhodes,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Audrey Garnett,,,,,TX,Collin,214-893-3924,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
Aundrea Lauren Gamble Holt,,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Austin Zachary Pugh,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ayesha Jain,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ayesha Maryam Khawaja Husain,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Ayumary M. Fitzgerald,,,,,TX,Collin,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Azhar Ahmed Hussain,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
BARBRI,,,,,TX,Collin,214-914-7920,,Bankruptcy,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
BKTurner PC,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Barry M. Rosen,,,,,TX,Collin,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Be Squared,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Benjamin Carter Whisman,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Beverly Lynn Gaines Towery,,,,,TX,Collin,972-489-4616,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Bilal Mustafa Siddiqui,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Billye Jo Gann,,,,,TX,Collin,,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
"Black & Skaggs, P.C.",,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Blair Kathleen Hendrix,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brandi J. Greene,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brandie M Koch,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brandon Michael Duck,,,,,TX,Collin,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
Brenda Mariela Carrillo,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brendan Pak,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brian Alexander Mair,,,,,TX,Collin,972-732-1001,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brian E. Bonney,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brian Nguyen Phan,,,,,TX,Collin,,,Personal Injury,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
Brielle Goldberg Stewart,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brijesh Kiran Patel,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brooke Afton Robinson,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Brooke Arden Benedict,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Bryan Christopher Bond,,,,,TX,Collin,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-11,State Bar of Texas Member Directory
CIPPC,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Callie Louise Puckett Hall,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Callum Stuart Ross,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Cametra Allenette Thompson,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Carissa Peterson,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Carlton James Webb,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Carmel Abuzaid,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Carolina Eder-Weaver,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory; State Bar self-reported website
Carolyn Ann Kearney Fiorello,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Carroll Ashley Covert,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
"Carter Arnett, PLLC",,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Casey E. Brogan,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Catharine Renee Gately,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Catherine C. Kays,,,,,TX,Collin,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Catherine Cecile Weir,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Catherine Elaine Bird,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Cedric Lloyd Allen,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Cem Uyar,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
"Champions Funding, LLC",,,,,TX,Collin,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Chang Lu,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles A. Brill,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles Franklin Brazell,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles H. Brown,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles Holford Mayer,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles James Casper,,,,,TX,Collin,408-828-3642,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Charles Kenneth Crider,,,,,TX,Collin,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Charlton Michel Messer,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christian Anthony Romero,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christian Steven Schultz,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christianah Ademola Aliu,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christie Erwin Crum,,,,,TX,Collin,,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-11,State Bar of Texas Member Directory
Christina Nicole Pacudan,,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Christina Y. Suh,,,,,TX,Collin,,,Civil Rights,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Christopher Allan Buchanan,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christopher Engel Craven,,,,,TX,Collin,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-11,State Bar of Texas Member Directory
Christopher Lon Blackburn,,,,,TX,Collin,760-382-9662,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
Christopher Thomas Gorman,,,,,TX,Collin,,,General,,,Dallas-Fort Worth,4,1,2026-09-11,State Bar of Texas Member Directory
