law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
Koprince McCall Pottroff LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30706,Lawrence,KS,Douglas,785-200-8919,,General,"901 Kentucky St, Ste 301",66044,Lawrence,2,3,KS Courts Registry,2026-08-17
Douglas County CASA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15111,Lawrence,KS,Douglas,785-832-5172,,General,725 North 2nd Street Suite M,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Kansas Holistic Defenders,https://www.kansasdefenders.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=29357,Lawrence,KS,Douglas,785-285-9606,,Criminal Defense,"2518 Ridge Ct, Ste 200",66044,Lawrence,5,7,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Life Span Institute,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24969,Lawrence,KS,Douglas,785-766-8192,,General,University of Kansas 1000 Sunnyside Ave Rm 1052,66045,Lawrence,2,1,KS Courts Registry,2026-08-17
Melody Joy Brannon,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 438-9040,,General,645 Vermont St Unit 192,66044-7903,Lawrence,2,,KS Courts Registry,2026-08-17
John J Immel Attorney,http://johnjimmelattorney.localsearch.com,,https://www.yellowpages.com/lawrence-ks/attorneys,Lawrence,KS,Douglas,(785) 843-0450,,General,842 Louisiana St,,Kansas City,2,,KS Courts Registry,2026-08-17
Michael Clarke,http://Clarke-law.com,,https://lawyers.justia.com/lawyer/michael-clarke-922111,Lawrence,KS,Douglas,(785) 832-2181,,DUI/DWI,831 Massachusetts Street,66044,Lawrence,5,2,KS Courts Registry,2026-08-17
The Trust Company,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9233,Lawrence,KS,Douglas,785-320-4291,,General,"333 W 9th, Ste A",66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Stan Davis LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12352,Lawrence,KS,Douglas,785-550-9652,,General,"700 Massachusetts St, Ste 303",66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Michael Dean Fangman,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 393-4455,,General,Po Box 3104,66046-0104,Lawrence,2,,KS Courts Registry,2026-08-17
Bowersock Capital Partners,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24617,Lawrence,KS,Douglas,785-592-3150,,General,611 W 9th St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Barber Emerson LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29321,Lawrence,KS,Douglas,785-843-6600,,General,1211 Massachusetts St,66044,Lawrence,2,7,KS Courts Registry,2026-08-17
Stevens and Brand,https://www.stevensbrand.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=9531,Lawrence,KS,Douglas,785-231-9360,,Family Law,900 Massachusetts St Ste 500,66044,Lawrence,4,13,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Sally Howard Regulatory Resources LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16214,Lawrence,KS,Douglas,202-320-3740,,General,809 Alabama St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Lois K. Malin,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(620) 272-1020,,General,401 N Crestline Dr,66049-1663,Lawrence,2,,KS Courts Registry,2026-08-17
Bradley C. Ralph PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12006,Lawrence,KS,Douglas,620-338-1547,,General,347 N Parker Cir,66049,Lawrence,2,1,KS Courts Registry,2026-08-17
Raney Oil Company LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11772,Lawrence,KS,Douglas,785-749-0672,,General,4665 Bauer Brook Ct,66049,Lawrence,2,1,KS Courts Registry,2026-08-17
Cathy Ann Reinhardt,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 843-4939,,General,211 E 8th St Ste E,66044-2771,Lawrence,2,,KS Courts Registry,2026-08-17
Earl Richardson Photography LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23680,Lawrence,KS,Douglas,816-210-1013,,General,713 Missouri St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Barry M. Shalinsky,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10083,Lawrence,KS,Douglas,785-424-7172,,General,645 Connecticut St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Laura Shaneyfelt,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12327,Lawrence,KS,Douglas,316-833-0346,,General,"645 Vermont, #192",66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Kansas Athletics,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22955,Lawrence,KS,Douglas,785-864-3672,,General,1651 Naismith Dr Kansas Athletics Allen Fieldhouse,66045,Lawrence,2,1,KS Courts Registry,2026-08-17
B. Joyce Yeager,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18932,Lawrence,KS,Douglas,703-307-8053,,General,2525 Maverick Ln,66406,Lawrence,2,1,KS Courts Registry,2026-08-17
Lawrence Chamber of Commerce,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17730,Lawrence,KS,Douglas,785-865-4411,,General,718 New Hampshire,66049,Lawrence,2,1,KS Courts Registry,2026-08-17
The Trust Company of Kansas,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14598,Lawrence,KS,Douglas,785-749-0904,,General,730 New Hampshire Ste 205,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Douglas County District Atty,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23143,Lawrence,KS,Douglas,785-841-0211,,General,111 East 11th St.,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Dream Enterprise Global,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24627,Lawrence,KS,Douglas,785-856-7032,,General,1216 E 23rd St,66046,Lawrence,2,1,KS Courts Registry,2026-08-17
Barber Emerson,https://www.barberemerson.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=21240,Lawrence,KS,Douglas,785-843-6600,,Family Law,1211 Massachusetts St,66044,Lawrence,4,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Limestone Education,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24257,Lawrence,KS,Douglas,913-219-9136,,General,1602 Massachusetts St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Michael D. Heck,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10460,Lawrence,KS,Douglas,785-331-5377,,General,1408 Goldleaf Pl,66049,Lawrence,2,1,KS Courts Registry,2026-08-17
LMH Health,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12887,Lawrence,KS,Douglas,785-505-4905,,General,325 Maine St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Guggenheim Partners,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13103,Lawrence,KS,Douglas,785-865-7268,,General,701 Tennessee St,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Kathy Perkins LLC,https://www.kathyperkins.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=18339,Lawrence,KS,Douglas,785-764-2352,kathy@kathy-perkins.com,Employment Law,700 Massachusetts St Ste 303,66044,Lawrence,3,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
KU Endowment Association,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22582,Lawrence,KS,Douglas,785-218-7770,,General,1891 Constant Ave,66047,Lawrence,2,1,KS Courts Registry,2026-08-17
Keith A. White,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 842-2010,,General,1319 Iowa St,66044-2161,Lawrence,2,,KS Courts Registry,2026-08-17
Baldwin City Fitness LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18012,Baldwin City,KS,Douglas,785-760-6308,,General,PO Box 644,66006,Lawrence,2,1,KS Courts Registry,2026-08-17
Thomas R. Hill LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9905,Lawrence,KS,Douglas,785-551-7233,,General,3005 W 23rd Ter,66047,Lawrence,2,1,KS Courts Registry,2026-08-17
"Strow, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=23963,Lawrence,KS,Douglas,785-550-5363,,General,1718 Bobwhite Dr,66047,Lawrence,2,1,KS Courts Registry,2026-08-17
Lawrence Douglas Co Housing Auth,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19578,Lawrence,KS,Douglas,785-842-8110,,General,1600 Haskell Ave,66044,Lawrence,2,1,KS Courts Registry,2026-08-17
Robert Samuel Bruer,http://www.bruerlaw.com,,https://lawyers.justia.com/lawyer/robert-samuel-bruer-1516041,Lawrence,KS,Douglas,(785) 371-1445,,Personal Injury,901 Kentucky Street,66044,Lawrence,5,,KS Courts Registry,2026-08-17
Kristina S Crump,http://www.kansasbankruptcy.com,,https://lawyers.justia.com/lawyer/kristina-s-crump-1526695,Lawrence,KS,Douglas,(785) 856-8720,,Bankruptcy,840 Connecticut,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Jeffrey Lee Wagoner,https://www.kansascitybankruptcy.com,,https://lawyers.justia.com/lawyer/jeffrey-lee-wagoner-1526431,Lawrence,KS,Douglas,(913) 422-0909,,Bankruptcy,719 Massachussetts St,66044,Lawrence,4,,KS Courts Registry,2026-08-17
David J. Brown,http://www.davidbrownlaw.com,,https://lawyers.justia.com/lawyer/david-j-brown-920162,Lawrence,KS,Douglas,(785) 842-0777,djbrown@davidbrownlaw.com,Divorce,120 East 9th Street,66044,Lawrence,5,,KS Courts Registry; email via firm website scrape,2026-08-17
Scott Clinton Stockwell,http://scottcstockwell.com,,https://lawyers.justia.com/lawyer/scott-clinton-stockwell-923027,Lawrence,KS,Douglas,(785) 842-1359,,Estate Planning,1311 Wakarusa DR,66049,Lawrence,4,4,KS Courts Registry,2026-08-17
Christopher Steffens,https://www.steffenslawllc.com/,,https://lawyers.justia.com/lawyer/christopher-steffens-924013,Lawrence,KS,Douglas,(800) 768-8036,lawrencebankruptcy@gmail.com,Bankruptcy,"1611 St Andrews Dr, Ste 33",66047,Lawrence,4,2,KS Courts Registry; email via firm website scrape,2026-08-17
John Harper,https://www.harperlawks.com,,https://lawyers.justia.com/lawyer/john-harper-921063,Lawrence,KS,Douglas,(785) 749-0123,,Bankruptcy,1516 Fountain Drive,66047,Lawrence,4,,KS Courts Registry,2026-08-17
Stephen Ware,http://stephenwarekukansasadr.blogspot.com/,,https://lawyers.justia.com/lawyer/stephen-ware-1199427,Lawrence,KS,Douglas,(785) 864-9209,ccarl@nysba.org,Bankruptcy,1535 W 15th St,66045,Lawrence,4,,KS Courts Registry; email via firm website scrape,2026-08-17
Nicholas David,http://www.thedavidlawoffice.com,,https://lawyers.justia.com/lawyer/nicholas-david-1499835,Lawrence,KS,Douglas,(785) 380-7702,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,Personal Injury,123 W. 8th St.,66044,Lawrence,5,,KS Courts Registry; email via firm website scrape,2026-08-17
Mr. Tai J Vokins,https://www.sloanlawfirm.com,,https://lawyers.justia.com/lawyer/mr-tai-j-vokins-1489037,Lawrence,KS,Douglas,(785) 842-6311,,Personal Injury,"900 Massachusetts, Suite 200",66044,Lawrence,5,2,KS Courts Registry,2026-08-17
Casey Y Meek,https://josephhollander.com/attorney/casey-y-meek/,,https://lawyers.justia.com/lawyer/casey-y-meek-1497275,Lawrence,KS,Douglas,(785) 856-0143,cmeek@josephhollander.com,DUI/DWI,"5200 Bob Billings Pkwy, Ste. 201",66049,Lawrence,5,4,KS Courts Registry; email via firm website scrape,2026-08-17
Daniel Covington,http://petefishlaw.com/,,https://lawyers.justia.com/lawyer/daniel-covington-1483093,Lawrence,KS,Douglas,(785) 843-0450,,Estate Planning,842 Louisiana St.,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Richard Frydman,https://www.richardfrydmanlawoffice.com,,https://lawyers.justia.com/lawyer/richard-frydman-921939,Lawrence,KS,Douglas,(785) 843-4023,richardfrydman@gmail.com,DUI/DWI,1540 New Hampshire,66044,Lawrence,5,,KS Courts Registry; email via firm website scrape,2026-08-17
Jonathan M. Snyder,http://www.snyderlawks.com,,https://lawyers.justia.com/lawyer/jonathan-m-snyder-1639451,Lawrence,KS,Douglas,(785) 235-6925,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Estate Planning,810 Pennsylvania,66044,Lawrence,4,,KS Courts Registry; email via firm website scrape,2026-08-17
Kylee Tokoi,https://josephhollander.com/attorney/kylee-a-tokoi/,,https://lawyers.justia.com/lawyer/kylee-tokoi-1675177,Lawrence,KS,Douglas,(785) 377-6224,chosen-sprite@2x.png,Divorce,5200 Bob Billings Pkwy.,66049,Lawrence,5,6,KS Courts Registry; email via firm website scrape,2026-08-17
Hannah Wittman,https://josephhollander.com/attorney/hannah-r-wittman/,,https://lawyers.justia.com/lawyer/hannah-wittman-1675289,Lawrence,KS,Douglas,(785) 377-6224,chosen-sprite@2x.png,Divorce,5200 Bob Billings Pkwy.,66049,Lawrence,5,6,KS Courts Registry; email via firm website scrape,2026-08-17
Sarah Snyder,http://www.snyderlawks.com,,https://lawyers.justia.com/lawyer/sarah-snyder-1496797,Lawrence,KS,Douglas,(785) 215-6680,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Divorce,810 Pennsylvania,66044,Lawrence,5,,KS Courts Registry; email via firm website scrape,2026-08-17
"Karlin, Calvin J",http://barberemerson.com,,https://www.yellowpages.com/lawrence-ks/attorneys,Lawrence,KS,Douglas,(785) 843-6600,,Personal Injury,1211 Massachusetts St,,Kansas City,5,,KS Courts Registry,2026-08-17
Carrie E Parker,https://josephhollander.com/attorney/carrie-e-parker/,,https://lawyers.justia.com/lawyer/carrie-e-parker-1497997,Lawrence,KS,Douglas,(785) 856-0143,cparker@josephhollander.com,Personal Injury,5200 Bob Billings Pkwy,66049,Lawrence,5,4,KS Courts Registry; email via firm website scrape,2026-08-17
Jessica F. Leffler,https://wakefieldleffler.com,,https://lawyers.justia.com/lawyer/jessica-f-leffler-1560376,Lawrence,KS,Douglas,(785) 842-7900,,Divorce,5200 Bob Billings Pkwy,66049,Lawrence,5,,KS Courts Registry,2026-08-17
