law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
ABGi USA,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
"AR Patel & Associates, PC",,,,,TX,Fort Bend,713-927-7290,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Aaron J. Lott,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Afamefuna Ikenna Pride Okeke,,,,,TX,Fort Bend,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Agustin Mora Bowen,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Akerman LLP,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Aldoluis Mikajell Cantu Rauda,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
"Aldridge Pite, LLP",,,,,TX,Fort Bend,908-208-0214,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Alexander B. Hu,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alexander Van Sims,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alexandra Daniela Villalon,,,,,TX,Fort Bend,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Ali Abbas,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ali Asir Dhukka,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ali Sohani,,,,,TX,Fort Bend,,,Estate Planning,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Allison Nicole Toliver,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Allison Rae Lammers,,,,,TX,Fort Bend,713-296-4782,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alton D. Holmes,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Amanda Mae Longtin,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Amar Mahesh Patel,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Amber Taliah Orr,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ambria Wilmore,,,,,TX,Fort Bend,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Ami Vasant Patel,,,,,TX,Fort Bend,713-962-7617,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Amrin A. Rehman,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Anaam Majid Butt,,,,,TX,Fort Bend,,,Immigration,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Andrei Fumurescu,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew Kyle Shadowens,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew Paul Kulha,,,,,TX,Fort Bend,713-597-5998,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew William Robbins,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Angela Lynn Moore,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Angelica G. Johnson,,,,,TX,Fort Bend,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Anjali Jawahar Baxi,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ann K. Thomas,,,,,TX,Fort Bend,,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Anthony R. Garcia,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Antoinette Frazho,,,,,TX,Fort Bend,517-327-6979,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
April Hollins Gamble,,,,,TX,Fort Bend,202-512-8669,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Apurva Lakshmi Swami,,,,,TX,Fort Bend,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Ardis Nicole Marshall,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Armon Ali Mehrinfar,,,,,TX,Fort Bend,713-490-4013,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Arshin Faridifar,,,,,TX,Fort Bend,281-546-4767,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Arwa Naser Awad,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Asad Jhangir Gaddi,,,,,TX,Fort Bend,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Asha Antonia Hayes,,,,,TX,Fort Bend,,,Immigration,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Ashley Marianne Thomas,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ata Hindi,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Austin Buck Weinle,,,,,TX,Fort Bend,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
