law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
1st Avenue Advisors,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Abigail Jean Marie Ebrom,,,,,TX,Galveston,,,Estate Planning,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Alanna Marie Beck,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alice Kaylynn Williford,,,,,TX,Galveston,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Amanda Rae Ring,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Analisa Maria Guasch,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrea Sager Law PLLC,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew James Ashford,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Anne B. Darring,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Arthur Patrick Muszynski,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Athena Ruth Delaplain Jones,,,,,TX,Galveston,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
August Eric Hulin Dannenmaier,,,,,TX,Galveston,703-432-0616,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
BARKS PLLC,,,,,TX,Galveston,713-743-2094,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Babajide Asis Adio-Oduola,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Best Best & Krieger,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Bradley Wild Skerry,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Brenden Edward Pumphrey,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Charles Aldine Hammaker,,,,,TX,Galveston,713-614-1212,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Chateara Telisa Williams Seymour,,,,,TX,Galveston,,,Employment Law,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Christi Lynn Nicolay,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christina M. Ibrahim,,,,,TX,Galveston,,,Employment Law,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Christopher Hurley Griffin,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Curtis Maurice Warren,,,,,TX,Galveston,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Dearl Francis Croft,https://www.wshblaw.com/professionals-dearl-croft,,,,TX,Galveston,346-488-1035,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Deborah Marie Young,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Denise Carol Mitrano,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Dina Lyn Driskill,,,,,TX,Galveston,281-685-7449,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Dream Finders Homes,,,,,TX,Galveston,,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Dylan Bertaut Price,,,,,TX,Galveston,,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Emily Diane Campbell,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ethan Randecker,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
"Ewer, PLLC",,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Faatima Ovais,,,,,TX,Galveston,,,Employment Law,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Gal Yurman-Nir,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Gerald Edward Roque,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Gladys B. Burwell,,,,,TX,Galveston,,,Estate Planning,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Hayden T. Green,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
James David Leamon,,,,,TX,Galveston,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
James Mark Tucker,,,,,TX,Galveston,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Jana Lei Hartnett,,,,,TX,Galveston,409-771-5115,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Jeanette Lutz Jordan,,,,,TX,Galveston,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Jeffrey N. Lester,,,,,TX,Galveston,713-724-5511,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
