law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Attorney - The Demps Law Firm,https://dempslaw.com/attorney,,,De Soto,KS,Johnson,,info@dempslaw.com,Criminal Defense,,,Kansas City,5,
Bray Law Office,https://www.mbraylaw.com,,,De Soto,KS,Johnson,913-768-2350,,Estate Planning,"6201 College Blvd., Ste 350",,Kansas City,4,
Carquest Auto Parts - Desoto Auto Parts,https://www.carquest.com/locations/ks/de-soto/5241,,,De Soto,KS,Johnson,(913) 585-3180,,Social Security Disability,33530 Lexington Ave,66018,Kansas City,1,
"Contact - O'Brien Law Firm, LLC",https://obrienfirm.com/contact,,,De Soto,KS,Johnson,662-672-7619,kevin@obrienfirm.com,Estate Planning,,,Kansas City,2,
De Soto driving under the influence (DUI) lawyer/law firm/Attorney,https://jocotraffic.com/desoto_dui_lawyer,,,De Soto,KS,Johnson,913-764-5010,info@jocotraffic.com,DUI,10 days from your arrest to request a hearing to determine if your license will,,Kansas City,4,
"Izquierdo Law Firm, P.A.",https://www.izlegal.com,,,De Soto,KS,Johnson,305-707-7345,,Criminal Defense,000 Restitution to Full Dismissal: How We Turned Around,,Kansas City,5,3
"Law Office of Ray Kowalczewski, P.A. for Kansas (KS) and Missouri",https://www.rayslawoffice.com,,,De Soto,KS,Johnson,913-888-4037,,Estate Planning,"6405 Metcalf Avenue, Suite 507",66202,Kansas City,4,
Legal Violence,,,,De Soto,KS,Johnson,230-655-4121,subscriptions@press.uchicago.edu,Immigration,200 interviews conducted between 1998 and 2009 with immigrants in,,Kansas City,2,
National Veterans Legal Services Program,https://nvlsp.org,,,De Soto,KS,Johnson,(202) 265-8305,cavc.intake@nvlsp.org,Workers' Compensation,25 NVLSP Issues Updated FAQ for Navy and Marine Corps Veterans Who Have Received Decisions from the Springs v. Del,,Kansas City,5,43
Richardson Criminal Defense Attorney,https://www.lomtl.com/richardson-criminal-defense-lawyer,,,De Soto,KS,Johnson,214-845-7007,,Criminal Defense,"5th happiest mid-sized city in America, 2014",,Kansas City,5,2
St. Louis Personal Injury Attorney Gretchen Myers,https://www.gmyerslawoffice.net/gretchen-myers.html,,,De Soto,KS,Johnson,314-621-5454,,Personal Injury,5454 1001 Highlands Plaza Dr #300 St,,Kansas City,5,4
The Bell Law Firm,https://jbelllawfirm.com,,,Edgerton,KS,Johnson,,jerry.bell@creativeplanning.com,General,,,Kansas City,4,
"Attorney Charlie J. Harris, Jr.",https://sbhlaw.com/harris,,,Fairway,KS,Johnson,816-756-0700,charlie@sbhlaw.com,Employment Law,000 employees – to honor the responsibility of ensuring,,Kansas City,3,
Attorney Family First Law,https://familyfirstlawkc.com,,,Fairway,KS,Johnson,816-701-9221,office@ffl-kc.com,Family Law,2025 Family First Law - All Rights Reserved. #,,Kansas City,4,
Attorney Fox Gary Law,https://foxgary.com,,,Fairway,KS,Johnson,816-895-8702,info@fglglaw.com,Workers' Compensation,"8301 State Line Rd, Suite 105",,Kansas City,5,
Attorney Roberts Law,https://www.robertslawkc.com,,,Fairway,KS,Johnson,816-381-9380,info@robertslawkc.com,DUI,,,Kansas City,5,
Attorneys of WB Law of Kansas City,https://www.wblawkc.com/attorneys,,,Fairway,KS,Johnson,(816) 373-2755,roger@wblawkc.com,Medical Malpractice,"1981 graduate of Westminster College and received his law degree, with",,Kansas City,5,
Berkowitz Cook,https://berkowitz-cook.com,,,Fairway,KS,Johnson,816-753-5000,,Family Law,,,Kansas City,4,
Bryant King,https://www.kinglawfirmkc.com,,,Fairway,KS,Johnson,816-216-7020,dbk377@gmail.com,Family Law,35 YEARSOF COURTROOM EXPERIENCE #,,Kansas City,4,
Cross Law Firm,https://www.crosslawfirm.us,,,Fairway,KS,Johnson,(844) 466-5297,lcross@cross-lawfirm.com,Medical Malpractice,5 Billion Settlement against Pacific Gas & Electric (PG&E). This settlement,,Kansas City,5,
"Family Law - Tieman, Spencer, and Hicks",https://tshlaw.com/family-law,,,Fairway,KS,Johnson,816-338-7644,info@tshhlaw.com,Family Law,200 people in different locations. Lee has counseled,,Kansas City,4,8
Gustafson Law Firm – Kansas City Personal Injury Attorney,https://gustafsonlawkc.com,,,Fairway,KS,Johnson,816-960-7121,craig@gustafsonlawkc.com,Personal Injury,0_CGustafson_0439-600x900.jpg) #,,Kansas City,5,
Kansas City Attorney Kenneth L. Jamison,https://jamisonlawfirmkc.com,,,Fairway,KS,Johnson,816-200-7436,kenjamison@kljamisonlaw.com,Family Law,17 W Kansas St Liberty,,Kansas City,4,4
Karl Johnson law office,http://karlgjohnsonlawoffice.com,,,Fairway,KS,Johnson,(913) 262-1886,,General,4330 Shawnee Mission Pkwy,66205,Kansas City,4,
Keefe Family Law Firm,https://keefefamilylaw.com,,,Fairway,KS,Johnson,816-974-0689,kkeefe@keefefamilylaw.com,Family Law,"3500 NE Ralph Powell Road, Lee",,Kansas City,4,
"Keenan & Bhatia, LLC",https://keenanbhatia.com,,,Fairway,KS,Johnson,816-327-2273,hello@rfuenzalida.com,Workers' Compensation,"20Picture%202020.jpg/:/cr=t:0%25,l",,Kansas City,5,
