law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Linn County Attorney,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20329,Mound City,KS,Linn,913-795-2161,,General,38 East Main,66056,Kansas City,2,
Gary E Thompson Attorney LLC,http://garythompsonlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJdcuoPhVrx4cRGi636XYZQXI,,Mound City,KS,Linn,913-795-2864,garythompson@garythompsonlegal.com,Estate Planning,P.O. Box 184,66056,Kansas City,2,1
Randall Jesse T,,https://www.google.com/maps/place/?q=place_id:ChIJqWNsDVdpx4cR8SL1j3hTRaM,,Mound City,KS,Linn,(913) 795-2514,,General,512 Main St,66056,Kansas City,4,
John Sutherland,,,https://lawyers.justia.com/lawyer/john-sutherland-922153,Mound City,KS,Linn,(913) 795-2230,,Divorce,326 Chestnut St,66056,Kansas City,5,
Robert Young,,,https://lawyers.justia.com/lawyer/robert-young-915970,Pleasanton,KS,Linn,(913) 352-6258,,General,210 W 9th St,66075,Kansas City,2,
Louis John Purvis,,,https://lawyers.justia.com/lawyer/louis-john-purvis-1731374,Mound City,KS,Linn,(785) 280-1305,,General,65 BIRDIE LN,66056,Kansas City,2,
"Randall, Jesse T, ATTY",http://randalljessetatty.localsearch.com,,https://www.yellowpages.com/mound-city-ks/attorneys,Mound City,KS,Linn,(913) 795-2514,,General,512 Main St,,Kansas City,2,
Richard Smith,,,https://lawyers.justia.com/lawyer/richard-smith-920748,Mound City,KS,Linn,(913) 795-2622,,General,318 Chestnut St,66056,Kansas City,2,
Burton M. Harding,,,https://lawyers.justia.com/lawyer/burton-m-harding-1731138,Mound City,KS,Linn,(913) 795-2285,,General,P.O. BOX 216,66056,Kansas City,2,
Keith Couch,,,https://lawyers.justia.com/lawyer/keith-couch-917335,Mound City,KS,Linn,(913) 451-8430,,General,12008 Johnson Ln,66056,Kansas City,2,
Justin Byron Johnson Meeks,,,https://www.avvo.com/attorneys/66056-ks-justin-meeks-4374516.html,Mound City,KS,Linn,(913) 795-2161,,General,38 East Main,66056,Kansas City,2,
Jada Delayne Hodgson,,,https://www.avvo.com/attorneys/66072-ks-jada-hodgson-4371035.html,Parker,KS,Linn,(913) 757-4510,,General,31025 W 403rd St,66072-5012,Kansas City,2,
Andrea Eran Purvis,,,https://www.avvo.com/attorneys/66056-ks-andrea-purvis-4355697.html,Mound City,KS,Linn,(913) 795-2660,,General,308 Main St Ste 1056th Judicial District   Linn County,66056-5297,Kansas City,2,
Sam H Shelton Attorney,http://samhsheltonattorney.localsearch.com,,https://www.yellowpages.com/la-cygne-ks/attorneys,La Cygne,KS,Linn,(785) 242-1113,,General,,,Kansas City,2,
Hodgson Legal Resources,,https://www.google.com/maps/place/?q=place_id:ChIJBX7SkAdHx4cRs4R4G4X8wYQ,,La Cygne,KS,Linn,(913) 757-4510,,General,620 Market St,66040,Kansas City,4,1
"Harding Law Firm, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJLUXMsVdpx4cRl1MYjs883NQ,,Mound City,KS,Linn,913-795-2285,,Criminal Defense,425 Main St,66056,Kansas City,5,1
Purvis Law Office LLC,,,,Mound City,KS,Linn,785-280-1305,,General,65 Birdie Ln,66056,Kansas City,4,1
Kolom Alfred J Attorney At Law,,https://www.google.com/maps/place/?q=place_id:ChIJgX953t4Ux4cRN0_4b5oIV7E,,Pleasanton,KS,Linn,(913) 352-6869,,General,777 Main St,66075,Kansas City,4,
Legal Aid Legal Services Corp,http://www.legalaidlegalservices.org,,https://www.yellowpages.com/mound-city-ks/attorneys,Mound City,KS,Linn,(844) 330-7981,,General,,,Kansas City,2,
Spigarelli Law Firm Coffeyvill,http://spigarelli-law.com,,https://www.yellowpages.com/mound-city-ks/attorneys,Mound City,KS,Linn,(620) 251-5590,,General,,,Kansas City,2,
Bruce E Borders Law Office,https://www.lawyer.com/bruce-borders.html,,https://www.yellowpages.com/mound-city-ks/attorneys,Mound City,KS,Linn,(620) 331-8600,,General,,,Kansas City,2,
