law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Abby B. Dye,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Alan August Fonseca,,,,,TX,Lubbock,,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Annhya Bethany Nunez Velez-Clarkson,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Bryan Hardy Phillips,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Burcu Toy,,,,,TX,Lubbock,,,Immigration,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory
Carolyn Corinne Wilkerson,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Cathy J. Givens,,,,,TX,Lubbock,806-773-6874,,Estate Planning,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory
Chad Justin Smith,https://www.csmithfirm.com/,,,,TX,Lubbock,806-783-0056,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
David Harlan Schreiber,,,,,TX,Lubbock,,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Devin Lyn Knox,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Helen Miller Liggett,,,,,TX,Lubbock,,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Holly Danielle Craig,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
James Kerry Aaron,,,,,TX,Lubbock,806-407-4042,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer A. Bubany,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Anne Pfieffer Hooper,,,,,TX,Lubbock,,,Real Estate,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Anne Workman,,,,,TX,Lubbock,,,Personal Injury,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Lynn Mirll,,,,,TX,Lubbock,806-475-0162,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Jesus E. Rincones,,,,,TX,Lubbock,806-470-0111,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Kelsey Ann Brock,,,,,TX,Lubbock,,,Estate Planning,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory
Kurt A. Brown,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Lauren Alexandra Salter-Mee,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Lauren Eleanor McDivitt,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Michael Patrick Austin,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Nathan Kyle Christopher,,,,,TX,Lubbock,,,Personal Injury,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Nicholas Connor Roy,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Paula Jo Smith,,,,,TX,Lubbock,,,Employment Law,,,Lubbock,3,1,2026-09-13,State Bar of Texas Member Directory
Payton D. Beggs,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Petre Racu,,,,,TX,Lubbock,830-834-9216,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Pruitt Law Firm,,,,,TX,Lubbock,806-223-5719,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
"Quext, LLC",,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
R. Brian Baccus,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Rebecca Anne Moss,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Reeves R D Winn,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Ricardo Nicolas Cordova,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Robert Nelson Nebb,,,,,TX,Lubbock,,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Ryuki Qin Hirasawa,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Stephanie Christine Hallgren,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Stephens Legacy Law,https://www.legacyfirmtx.com/,,,,TX,Lubbock,806-772-0190,kalyn@legacyfirmtx.com,Estate Planning,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Tara Serena Thompson,,,,,TX,Lubbock,,,Criminal Defense,,,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
Taylor Jessica Fell,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Texas Tech Unoversity,,,,,TX,Lubbock,432-528-7274,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Thomas Lee Willoughby,,,,,TX,Lubbock,,,General,,,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
Tyson Mike Field,,,,,TX,Lubbock,806-787-0897,,Estate Planning,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Zachary Cole Flowerree,,,,,TX,Lubbock,,,Estate Planning,,,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory
"Cities of Idalou, New Deal, Wolfforth, Town of Ransom Canyon",,,,Idalou,TX,Lubbock,806-892-2531,,Criminal Defense,PO Box 1277 301 Main Street,79329,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
7B Building & Development,,,,Lubbock,TX,Lubbock,,,General,13105 Dover Ave,79424,Lubbock,4,1,2026-09-13,State Bar of Texas Member Directory
"A New World Immigration Law, PLLC",https://www.anewworldimmigrationlaw.com/,,,Lubbock,TX,Lubbock,806-503-9692,sara@anewworldimmigrationlaw.com,Immigration,3213 79th St,79423,Lubbock,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Aaron Carter Law Firm, P.C.",,,,Lubbock,TX,Lubbock,806-745-6100,,Criminal Defense,7606 University Ave Ste B-5,79423,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Abel Reyna, Jr., P.C.",,,,Lubbock,TX,Lubbock,806-771-5963,,Personal Injury,7606 University Ave Ste E,79423,Lubbock,5,1,2026-09-13,State Bar of Texas Member Directory
