law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
The Coppaken Law Firm,http://www.coppakenlaw.com,,,Bucyrus,KS,Miami,913-802-2130,,Business Law,20105 Metcalf Ave,66013,Kansas City,2,1
Vance C. Preman PC,,,,Bucyrus,KS,Miami,816-678-9599,,General,,66013,Kansas City,4,1
5th Generation Legal Advisors,,,,Louisburg,KS,Miami,913-345-2669,,General,29591 Antioch Rd,66053,Kansas City,4,1
Anglin Law Office LLC,,,,Louisburg,KS,Miami,913-484-3174,,General,204 Lakeview Dr,66053,Kansas City,4,1
Chris Benjamin Law Firm,https://www.chrisbenjaminlaw.com/,,,Louisburg,KS,Miami,(913) 340-9544,info@chrisbenjaminlaw.com,Personal Injury,16 S Broadway St Suite 16A,66053,Kansas City,5,
"Crozier Law Firm, P.A.",,,,Louisburg,KS,Miami,913-620-5298,,General,P.O. Box 1306,66053,Kansas City,4,1
James L. Ungerer,,,,Louisburg,KS,Miami,913-636-7996,,General,12237 W 255th St,66053,Kansas City,4,1
"Kimberly D. Burris, Attorney at Law",,,,Louisburg,KS,Miami,913-406-5156,,General,P.O.  Box 1263,66053,Kansas City,4,1
Matula Daniel Attorney At Law,,,,Louisburg,KS,Miami,(913) 837-5827,,General,26430 Spring Valley Rd,66053,Kansas City,4,
The Bolton Law Office,,,,Louisburg,KS,Miami,(620) 224-0732,,General,1007 W Amity,66053,Kansas City,4,1
Fisher Richard M Jr Attorney At Law,,,,Osawatomie,KS,Miami,(913) 755-4330,,General,549 Main St,66064,Kansas City,4,
"K. Rogers Law, LLC",,,,Osawatomie,KS,Miami,,,General,PO Box 204,66064,Kansas City,4,1
Steven A. Jensen,,,https://lawyers.justia.com/lawyer/steven-jensen-916516,Osawatomie,KS,Miami,913-594-3309,,General,PO Box 314,66064,Kansas City,4,1
Amy C. Winterscheid Attorney at Law,,,https://lawyers.justia.com/lawyer/amy-winterscheid-921718,Paola,KS,Miami,(913) 294-3400,,General,13 S Pearl St,66071,Kansas City,4,
Barkis Law Office,,,,Paola,KS,Miami,(913) 294-2501,,General,112 S Pearl St,66071,Kansas City,4,
"Dasenbrock Law, LLC",,,,Paola,KS,Miami,913-294-2900,,General,"131 S Pearl, PO Box 191",66071,Kansas City,4,1
Domoney & Domoney,https://www.domoneylaw.com,,,Paola,KS,Miami,(913) 294-2800,,Criminal Defense,18 E Wea St,66071,Kansas City,5,2
"Glen E. Sharp, II",,,https://lawyers.justia.com/lawyer/glen-e-ii-sharp-923320,Paola,KS,Miami,(913) 294-3300,,General,13 S Pearl St,66071,Kansas City,4,
"Hartley Law Group, LLC",https://www.hartleylawgroupllc.com,,,Paola,KS,Miami,913-294-4512,,General,"26 W Peoria, PO Box 407",66071,Kansas City,4,1
Heger David R,,,https://lawyers.justia.com/lawyer/david-heger-918648,Paola,KS,Miami,(913) 294-3914,,General,120 S Pearl St,66071,Kansas City,4,
Law Office of Lee H. Tetwiler,,,,Paola,KS,Miami,913-294-2339,,General,"133 S Pearl, PO Box 501",66071,Kansas City,4,1
Law Office of Sheila M. Schultz,,,https://lawyers.justia.com/lawyer/sheila-schultz-921209,Paola,KS,Miami,913-731-2430,,General,PO Box 333,66071,Kansas City,4,1
"Mary Stephenson, Attorney at Law",,,https://lawyers.justia.com/lawyer/mary-stephenson-920517,Paola,KS,Miami,913-980-2812,msattorneyatlaw@msn.com,Criminal Defense,"131 S Pearl St, PO Box 354",66071,Kansas City,5,1
Nicholson Law Office LC,,,,Paola,KS,Miami,(913) 294-4512,atty@hartleylawgroupllc.com,Criminal Defense,26 W Peoria St,66071,Kansas City,5,
Pascolo Law LLC,,,,Paola,KS,Miami,913-795-1275,,General,31764 W. 271st St,66071,Kansas City,4,1
Shawver & Shawver,,,,Paola,KS,Miami,(913) 294-2400,,General,18 E Wea St,66071,Kansas City,4,
"Ellis Law Office, LLC",,,,Spring Hill,KS,Miami,913-592-2029,,General,,66083,Kansas City,4,1
Kice Comprehensive Legal Solutions,,,,Spring Hill,KS,Miami,913-585-5315,,General,,66083,Kansas City,4,1
"Paula A. McMullen, Attorney at Law",,,,Spring Hill,KS,Miami,913-940-4521,,General,,66083,Kansas City,4,1
