law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron Alvin Browne,,,,,TX,Montgomery,517-416-0269,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Aimee Mickelle Fortier-Strykowski,,,,,TX,Montgomery,281-782-6500,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alana L Lewis,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alex James Deal,,,,,TX,Montgomery,281-354-6233,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alfred Ray Martinez,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alice A. Brown,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alison R. Wills,,,,,TX,Montgomery,,,Employment Law,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Alyssa Ann Tyler,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Alyssa Michelle Mathews,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
America First Policy Institute,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
American Helium,,,,,TX,Montgomery,713-742-3624,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Amni International Petroleum,,,,,TX,Montgomery,832-524-6180,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrea Marie Koch,https://shieldsfirm.com/,,,,TX,Montgomery,844-727-4111,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Andrew David Truelove,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Andrew Jonathan Gillespie,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Ann Maria Tomino Leblanc,,,,,TX,Montgomery,936-697-6607,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Anne Wilson Hadley,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Annika Brooke Johnson,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Anokhy Ashok Desai,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Antoine Charles Schellinger,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Araceli Aguilar,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Arthur Krimsky,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Attorney at Law and Trained Mediator,,,,,TX,Montgomery,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Black & Veatch,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Boyang Zhang,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Bradley Allen Keller,,,,,TX,Montgomery,832-444-8979,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Brandon Lawrence Wilson,,,,,TX,Montgomery,346-224-4859,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Brandon William Waddell,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Brian Andrew McGill,,,,,TX,Montgomery,,,General,"Paseo de La Reforma 483, Col. Cuauhtemoc",,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Brionna Lynn Ketcham,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Bryan James Bahr,,,,,TX,Montgomery,832-605-3515,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
"Bush & Ramirez, LLC",https://bushramirez.com/,,,,TX,Montgomery,832-506-5642,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
CAVA,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Caitlin D. McDuffee,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Caitlin Elizabeth Ross,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Carl Lee Williams,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Carmen Rocio Morales,,,,,TX,Montgomery,936-539-7800,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
"Chamberlain, Hrdlicka, White, Williams & Aughtry, P.C.",,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Charles A. Beach,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Charlotte K. Lang,,,,,TX,Montgomery,,,Immigration,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Cheryl Lynn Calvillo,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Cheryl Lynn Huseman,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Cheryl Ruth Worley,,,,,TX,Montgomery,,,Bankruptcy,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Christi Ann Fumie Kobatake,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christin Michelle Martin,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christina Ann Moore,,,,,TX,Montgomery,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Christina Flores Gonzales,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christina Renee Heeth,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Christine Marie Albin,,,,,TX,Montgomery,,,Personal Injury,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Christopher Boiteau,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christopher Lee Rogers,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Christopher Rosser Wallick,,,,,TX,Montgomery,,,Criminal Defense,,,Houston,5,1,2026-09-13,State Bar of Texas Member Directory
Cisive,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Clayton Robert Gollnick,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Constellation Energy,,,,,TX,Montgomery,713-319-5130,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Contract Attorney,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Courtney Margaret Crosby,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
Cristina Greenfield,,,,,TX,Montgomery,,,Civil Litigation,,,Houston,3,1,2026-09-13,State Bar of Texas Member Directory
Crystal Nhi Le,,,,,TX,Montgomery,,,Real Estate,,,Houston,2,1,2026-09-13,State Bar of Texas Member Directory
Curtis John Domingue,,,,,TX,Montgomery,,,General,,,Houston,4,1,2026-09-13,State Bar of Texas Member Directory
