law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Jesse J Worten III Attorney at Law,,,,Pawhuska,OK,Osage,(918) 287-2500,,General,537 Leahy Ave,74056,Tulsa,4,
John T Briggs Attorney at Law,,,,Pawhuska,OK,Osage,(918) 604-5060,,General,1701 E Main St,74056,Tulsa,4,
Kane Law Offices PC,,,,Pawhuska,OK,Osage,(918) 287-2233,,General,120 E 6th St,74056,Tulsa,4,
O Ronald Mc Gee & Associates LLC,,https://www.google.com/maps/place/?q=place_id:ChIJyfh1t84zt4cRg_1co3odkf8,,Pawhuska,OK,Osage,(918) 287-4847,,General,520 Leahy Ave,74056,Tulsa,4,
Payne Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJZSIvbckzt4cR05K16ucYmRk,,Pawhuska,OK,Osage,(918) 287-1290,,General,100 W Main St #400,74056,Tulsa,4,
Ramsey Rodney,,https://www.google.com/maps/place/?q=place_id:ChIJY8tK88Uzt4cRTrvJJrsxeWY,,Pawhuska,OK,Osage,(918) 287-2000,,General,,74056,Tulsa,4,
Shoemake Bransford H Atty,http://www.shoemakelaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJDy-_Dckzt4cRmZM3i5hH2V8,,Pawhuska,OK,Osage,(918) 287-1812,,Personal Injury,106 W Main St,74056,Tulsa,5,
Shoemake Law Offices,,,,Pawhuska,OK,Osage,(918) 380-3444,,General,106 W Main St,74056,Tulsa,4,
Standingbear Law Firm,,,,Pawhuska,OK,Osage,(918) 287-4700,,General,715 Kihekah Ave,74056,Tulsa,4,
Steven G Venturi,https://www.bartlesvillecriminalattorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJvwJvMc8zt4cRU9MbGBj-gnk,,Pawhuska,OK,Osage,(918) 287-1700,,Criminal Defense,117 E 7th St,74056,Tulsa,5,
"Steven L. Holcombe, Attorney",http://holcombe.legal/,https://www.google.com/maps/place/?q=place_id:ChIJueaTIMkzt4cRzqPuWdJS6dA,,Pawhuska,OK,Osage,(918) 287-8762,steve@holcombe.legal,Estate Planning,700 Kihekah Ave,74056,Tulsa,2,2
Stotts Barclay Pettus Moore & Whipple PC,,,,Pawhuska,OK,Osage,(918) 287-4900,,General,110 E 6th St,74056,Tulsa,4,
Wilson W Robert,,https://www.google.com/maps/place/?q=place_id:ChIJPUuhZckzt4cRZlnkAj7qEpg,,Pawhuska,OK,Osage,(918) 287-4800,,General,510 Kihekah Ave,74056,Tulsa,4,
