provider_name,website,phone_number,provider_type,city,state,county,street_address,zip_code,email,npi_number
"Aaron Lee Cheney, D.C.",,(785) 364-4151,Chiropractor,Holton,KS,Jackson County,928 W 6Th St,66436,,1730115379
"Complete Chiropractic Care Center, Llc",https://completechiro.com,(785) 364-9003,Chiropractor,Holton,KS,Jackson County,412 Pennsylvania Ave,66436,,1346511227
"Edward D Mckenzie, D.C.",,(785) 364-4151,Chiropractor,Holton,KS,Jackson County,928 W 6Th St,66436,,1477662542
Edward D. Mckenzie,,(785) 364-4151,Chiropractor,Holton,KS,Jackson County,928 W 6Th St,66436,,1972652568
Glacial Hills Chiropractic,https://glacialwellness.com,(785) 364-2252,Chiropractor,Holton,KS,Jackson County,1100 Columbine Dr Suite E,66436,,1033501572
Glacial Hills Chiropractic Llc,https://glacialwellness.com,(785) 364-2252,Chiropractor,Holton,KS,Jackson County,1100 Columbine Dr Suite E,66436,,1629461777
"Joseph Michael Schneider, D.C.",,(785) 364-3101,Chiropractor,Holton,KS,Jackson County,125 W 4Th St,66436,,1912016122
"Stephannie Dawn Gilkey-Nicol, D.C.",https://completechiro.com,(785) 364-9003,Chiropractor,Holton,KS,Jackson County,412 Pennsylvania Ave,66436,,1265481709
"Steven Patrick Buck, D.C.",,(785) 364-4151,Chiropractor,Holton,KS,Jackson County,928 W 6Th St,66436,,1639238389
"Jamie Mulanax Jacobsen, D.O.",,(785) 966-8200,Chiropractor,Mayetta,KS,Jackson County,11400 158Th Rd,66509,,1669447330
Physical & Respiratory Therapy Services Llc,https://respiratorytherapy.com,(785) 742-2201,Physical Therapist,Hiawatha,KS,Jackson County,819 Oregon St,66434,,1407850902
"Shannon Henry, DPT",https://respiratorytherapy.com,(785) 742-2201,Physical Therapist,Hiawatha,KS,Jackson County,819 Oregon St,66434,,1457125551
"Jon Fetterhoof, PT",,(785) 364-2116,Physical Therapist,Holton,KS,Jackson County,1110 Columbine Dr,66436,,1467557462
"Kinetic Physical Therapy, Llc",https://kineticphysicaltherapy.net,(785) 230-8920,Physical Therapist,Holton,KS,Jackson County,23020 M Rd,66436,,1518819028
"Phillip John Wassenberg, PT",,(785) 364-2116,Physical Therapist,Holton,KS,Jackson County,1110 Columbine Dr,66436,,1497850952
"Sarrah R Edwards, PT",,(785) 364-9617,Physical Therapist,Holton,KS,Jackson County,1110 Columbine Dr,66436,,1134398795
"Erin Dement, PT",,(785) 933-2086,Physical Therapist,Netawaka,KS,Jackson County,233 White Way St,66516,,1821986878
"Kelli Ulrich, DPT",,(785) 285-0720,Physical Therapist,Netawaka,KS,Jackson County,233 White Way St,66516,,1104496181
"Kara Ann Tanking, DPT",http://advancerehabks.com/,(785) 232-9805,Physical Therapist,Topeka,KS,Jackson County,6001 Sw 6Th Ave Ste 230,66615,,1154947984
