law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
A. Bruce Wilson,,,,,TX,Tarrant,817-377-0500,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Aaron David Slough,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abagail Mae Klonsinski,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abby Parmelly,,,,,TX,Tarrant,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-10,State Bar of Texas Member Directory
Abigail Elizabeth Davis,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abigail Lynn Peak,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abraham Alfonso Lopez,,,,,TX,Tarrant,817-888-8888,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Bradley Hahn,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam F. Seiffert,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adedayo O. Oladele-Ajose,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Ademola Azeez Akande,,,,,TX,Tarrant,,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Adriana Carolina Chernow,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adriana Ivonne Lopez,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adrienne Marie Werner,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Ajay Nath,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Akash Vinod Shah,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Al Zachary Lazarus,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alan Phi Do,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Michael Haer,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexis Daryl Smith,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexis R. Yelvington,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alicia M. Hernandez,,,,,TX,Tarrant,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Alisha Renae Darden,,,,,TX,Tarrant,214-289-7267,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-10,State Bar of Texas Member Directory
Alison Joan Meyer,,,,,TX,Tarrant,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Allen Deepak Bass,,,,,TX,Tarrant,469-955-6341,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Alysha Brittney Hobbs,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alyson Marie Acheson,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alyssa Joy Wright Marquette,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alyssa Urban,,,,,TX,Tarrant,,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Amanda Christine Vela,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amanda Jacqueline Tarver,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amanda Rae Nicodem,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amara Aslam Kamal,,,,,TX,Tarrant,682-688-5995,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amarna Ali Muhammad,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amber Dawn Rasco,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amber Michelle Bennett,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amber Nicole Brigham,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amber Nicole Stafford,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amenah Ahmed,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Jo Collum,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Johnson Almendarez,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Leandra Taylor Mills,,,,,TX,Tarrant,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-10,State Bar of Texas Member Directory
Amy Louise Tyson,,,,,TX,Tarrant,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-10,State Bar of Texas Member Directory
Amy Michelle Zenick Matejka,,,,,TX,Tarrant,817-798-7703,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Andre Demir Taylor,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Andrea Hayes Yowman,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Andrea Naomi Phillips,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory; State Bar self-reported website
Andrew James Nuttall,,,,,TX,Tarrant,817-602-2997,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Andrew Ross Van de Kop,,,,,TX,Tarrant,,,Criminal Defense,,,Dallas-Fort Worth,5,1,2026-09-10,State Bar of Texas Member Directory
Andrew Thomas Smith,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Andrew Winston Homer,,,,,TX,Tarrant,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
