law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron Adrian Bundoc,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Alan Gamboa,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Alexander Regnier Cerda,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Alexandra Colessides,,,,,TX,Webb,,,Employment Law,,,Laredo,3,1,2026-09-13,State Bar of Texas Member Directory
Carlos Eduardo Garza,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Claudia Yvette Polendo,,,,,TX,Webb,,,Personal Injury,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Diaz Reus International Law Firm,https://diazreus.com/,,,,TX,Webb,305-375-9220,info@diazreus.com,Civil Rights,Av. Morones Prieto 1500,,Laredo,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Emily Anne Walker,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Fernando Flores,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Israel Morales Reyna,,,,,TX,Webb,,,Employment Law,,,Laredo,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Jacquelyn Sandra Orfila,,,,,TX,Webb,,,Civil Litigation,,,Laredo,3,1,2026-09-13,State Bar of Texas Member Directory
Jesus E. Vigil,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Jose Angel Moreno,,,,,TX,Webb,,,Criminal Defense,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Jose Emanuel Rodriguez,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Kassandra G. De Hoyos,,,,,TX,Webb,,,Criminal Defense,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Katherine E. Spry,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Law Offices of George V. Garcia,,,,,TX,Webb,956-725-4242,,Criminal Defense,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Lorenza G. Cigarroa,,,,,TX,Webb,,,Estate Planning,,,Laredo,2,1,2026-09-13,State Bar of Texas Member Directory
Luis Fernando Zamudio,,,,,TX,Webb,,,Immigration,,,Laredo,2,1,2026-09-13,State Bar of Texas Member Directory
Marissa Lorena Juarez,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Marissa V. Flores,,,,,TX,Webb,956-286-7718,,Criminal Defense,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Melinda Annette Vidaurri,,,,,TX,Webb,,,Criminal Defense,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Michael Bukiewicz,,,,,TX,Webb,,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
Molly Higgins Santos,,,,,TX,Webb,,,Personal Injury,,,Laredo,5,1,2026-09-13,State Bar of Texas Member Directory
Nathan R. Bratton,,,,,TX,Webb,956-523-4618,,General,,,Laredo,4,1,2026-09-13,State Bar of Texas Member Directory
